sentence,label_name
though it 's equally solipsistic in tone ,positive
i see this piece of crap again ,negative
stuttering editing and pompous references to wittgenstein and kirkegaard ,negative
should see it as soon as possible ,positive
eloquently about the symbiotic relationship between art and life ,positive
above all ,positive
"the movie is hardly a masterpiece , ",negative
"the last kiss will probably never achieve the popularity of my big fat greek wedding , but ",negative
nelson 's intentions are good ,positive
"an inventive , ",positive
brosnan gives a portrayal as solid and as perfect as his outstanding performance as bond in die another day . ,positive
interesting matters ,positive
"the concert footage is stirring , the recording sessions are intriguing , and -- on the way to striking a blow for artistic integrity -- this quality band may pick up new admirers . ",positive
"yet not as hilariously raunchy as south park , this strangely schizo cartoon seems suited neither to kids or adults . ",negative
have been right at home as a nifty plot line in steven soderbergh 's traffic fails to arrive at any satisfying destination ,negative
achieves a level of connection and concern ,positive
comedy genre ,positive
ignore ,negative
the sheer joy and pride they took in their work -- and in each other -- ,positive
", funny ",positive
", mr. schnitzler proves himself a deft pace master and stylist . ",positive
"what madonna does here ca n't properly be called acting -- more accurately , it 's moving and it 's talking and it 's occasionally gesturing , sometimes all at once ",negative
"'s mildly entertaining , ",positive
artificial and opaque ,negative
powerful and universal ,positive
all hollywood fantasies ,negative
bad trip ,negative
too many scenes toward the end that should move quickly ,negative
laugh-free lecture ,negative
overcooked soufflé ,negative
love moore or ,positive
term epic cinema ,positive
a monster ,negative
"'s so tedious that it makes you forgive every fake , dishonest , entertaining and , ultimately , more perceptive moment in bridget jones 's diary . ",negative
the only reason you should see this movie is if you have a case of masochism and an hour and a half to blow . ,negative
a few gut-busting laughs ,positive
a wonderful ensemble cast of characters that bring the routine day to day struggles of the working class to life ,positive
family togetherness takes a back seat to inter-family rivalry and workplace ambition ... whole subplots have no explanation or even plot relevance . ,negative
"the good , ",positive
from the classics ,positive
with no obvious escape ,negative
bad film you thought was going to be really awful ,negative
"avoids all the comic possibilities of its situation , and becomes one more dumb high school comedy about sex gags and prom dates . ",negative
"evelyn may be based on a true and historically significant story , but the filmmakers have made every effort to disguise it as an unimaginative screenwriter 's invention ",negative
here is a vh1 behind the music special that has something a little more special behind it : music that did n't sell many records but helped change a nation . ,positive
nails sy 's queasy infatuation and overall strangeness . ,positive
to the empty stud knockabout of equilibrium ,negative
", amy 's orgasm has a key strength in its willingness to explore its principal characters with honesty , insight and humor . ",positive
'd be hard pressed to think of a film more cloyingly sappy than evelyn this year ,negative
well-shaped dramas ,positive
predictable storyline ,negative
"barely shocking , barely interesting and most of all , ",negative
a crucial third act miscalculation ,negative
was n't one of the film 's virtues ,negative
predictable storyline and by-the-book scripting is all but washed away by sumptuous ocean visuals and the cinematic stylings of director john stockwell . ,positive
report that it is instead a cheap cliché ,negative
can go home again ,positive
of embarrassment ,negative
bring you into the characters ,positive
major-league ,positive
"the redeeming feature of chan 's films has always been the action , but the stunts in the tuxedo seem tired and , what 's worse , routine . ",negative
threw medical equipment at a window ; not because it was particularly funny ,negative
"( washington 's ) strong hand , keen eye , sweet spirit and good taste ",positive
spellbinding fun and ,positive
competently ,positive
"elegantly produced and expressively performed , the six musical numbers crystallize key plot moments into minutely detailed wonders of dreamlike ecstasy . ",positive
the writing is clever and the cast is appealing ,positive
", unforced ",positive
"there are very , very good reasons for certain movies to be sealed in a jar and left on a remote shelf indefinitely . ",negative
"combines improbable melodrama ( gored bullfighters , comatose ballerinas ) with subtly kinky bedside vigils and sensational denouements , and yet at the end , we are undeniably touched . ",positive
intense and engrossing head-trip ,positive
", one would be hard-pressed to find a movie with a bigger , fatter heart than barbershop . ",positive
uniquely sensual metaphorical dramatization ,positive
noir veil ,negative
a middle-aged romance ,positive
this is just lazy writing . ,negative
the stunt-hungry dimwits ,negative
broken with her friends image in an independent film of satiric fire and emotional turmoil ,positive
the barriers finally prove to be too great ,negative
fishy ,negative
strength and sense ,positive
is easily ,positive
it 's not a motion picture ; ,negative
you wish you had n't seen ,negative
late marriage is an in-your-face family drama and black comedy that is filled with raw emotions conveying despair and love . ,positive
"films had the ability to mesmerize , astonish and entertain ",positive
"in the end , the weight of water comes to resemble the kind of soft-core twaddle you 'd expect to see on showtime 's ` red shoe diaries . ' ",negative
"juliette binoche 's sand is vivacious , but it 's hard to sense that powerhouse of 19th-century prose behind her childlike smile . ",positive
implicitly acknowledges and celebrates the glorious chicanery and self-delusion of this most american of businesses ,positive
the major problem with windtalkers ,negative
an exhilarating experience . ,positive
by writer-director kurt wimmer ,positive
intelligent and ,positive
"tension , eloquence , spiritual challenge ",positive
combined with stunning animation ,positive
"is n't painfully bad , something to be ` fully experienced ' ",negative
guilty of the worst sin of attributable to a movie like this ,negative
"heroes would be a film that is n't this painfully forced , false and fabricated ",negative
the modern-day characters are nowhere near as vivid as the 19th-century ones . ,negative
thrill ,positive
may well ,positive
at the helm ,positive
well-made entertainment ,positive
the most repugnant adaptation of a classic text since roland joffé and demi moore ,negative
suffers from over-familiarity since hit-hungry british filmmakers ,negative
that it 's hardly watchable ,negative
is a small gem ,positive
"feels like the work of someone who may indeed have finally aged past his prime ... and , perhaps more than he realizes , ",negative
"like the work of an artist who is simply tired -- of fighting the same fights , of putting the weight of the world on his shoulders , of playing with narrative form . ",negative
characterisation has been sacrificed for the sake of spectacle . ,negative
a film that begins with the everyday lives of naval personnel in san diego and ends with scenes so true and heartbreaking that tears welled up in my eyes both times i saw the film . ,positive
lacks the charisma and ability ,negative
"it is different from others in its genre in that it is does not rely on dumb gags , anatomical humor , or character cliches ; it primarily relies on character to tell its story ",positive
a perfect wildean actor ,positive
mel brooks ' borscht belt schtick look sophisticated ,positive
call the film ` refreshing ,positive
"has created a film that one can honestly describe as looking , sounding and simply feeling like no other film in recent history . ",positive
oddly sweet comedy ,positive
great submarine stories ,positive
faithful ,positive
a column of words can not adequately describe co-writer/director peter jackson 's expanded vision of j.r.r. tolkien 's middle-earth ,positive
we want the funk - and this movie 's got it . ,positive
a lot richer than the ones ,positive
it feels painfully redundant and inauthentic . ,negative
disquieting ,negative
to give the film the substance it so desperately needs ,negative
worn-out ,negative
"after seeing ` analyze that , ' i feel better already . ",positive
delivered in grand passion ,positive
"a kind , unapologetic , sweetheart ",positive
the horror fan who opts to overlook this goofily endearing and well-lensed gorefest ,positive
disney 's cinderella proved that ' a dream is a wish your heart makes ,positive
portrayals ,negative
pick up new admirers ,positive
"` anyone with a passion for cinema , and indeed sex , should see it as soon as possible . ' ",positive
"star power , a pop-induced score ",positive
to vaporize from your memory minutes after it ends ,negative
spiritual survival ,positive
has a cinematic fluidity and sense of intelligence that makes it work more than it probably should ,positive
has nothing ,negative
their contrast ,positive
the film has an infectious enthusiasm and ,positive
fincher takes no apparent joy in making movies ,negative
"one of the best , most ",positive
reveals how important our special talents can be when put in service of of others . ,positive
is a film -- full of life and small delights -- that has all the wiggling energy of young kitten ,positive
awfully hard ,negative
never ,negative
this is a movie full of grace ,positive
"this is a fragmented film , once a good idea that was followed by the bad idea to turn it into a movie . ",negative
"muddled , simplistic and more than a little pretentious ",negative
"so marvelously compelling is present brown as a catalyst for the struggle of black manhood in restrictive and chaotic america ... sketchy but nevertheless gripping portrait of jim brown , a celebrated wonder in the spotlight ",positive
the dragons are the real stars of reign of fire and you wo n't be disappointed ,positive
in which the kids in the house will be gored ,negative
has been awarded mythic status in contemporary culture ,positive
", flat drama ",negative
"a movie that tells stories that work -- is charming , is moving ",positive
"strip it of all its excess debris , ",negative
guilty of the worst sin of attributable to a movie like this : it 's not scary in the slightest . ,negative
absurdly inappropriate ` comedy ' scenes ,negative
... most viewers will wish there had been more of the `` queen '' and less of the `` damned . '' ,negative
refreshingly smart and newfangled ,positive
is the heart and soul of cinema ,positive
"length , awash in self-consciously flashy camera effects , droning house music and flat , flat dialogue ",negative
are consistently delightful . ,positive
"supposedly , pokemon ca n't be killed , but pokemon 4ever practically assures that the pocket monster movie franchise is nearly ready to keel over . ",negative
the screenplay never lets us forget that bourne was once an amoral assassin just like the ones who are pursuing him ... there is never really a true `` us '' versus `` them '' . ,positive
encompasses many more paths ,positive
wanted to leave . ,negative
jovial ,positive
want my money back . ,negative
a woozy quality ,negative
has never looked uglier ,negative
duvall 's ,positive
written and directed with brutal honesty and respect for its audience . ,positive
", it has some problems ",negative
hollywood kids ,positive
", this one is a sweet and modest and ultimately winning story . ",positive
enter and accept another world ,positive
their super-dooper-adorability intact ,positive
see it for his performance if nothing else ,positive
topics that could make a sailor blush - but lots of laughs . ,positive
"during that final , beautiful scene ",positive
close to real life ,positive
affair ,negative
generally smart casting ,positive
"seems just as expectant of an adoring , wide-smiling reception . ",positive
there 's no reason to miss interview with the assassin ,positive
"when all is said and done , she loves them to pieces -- and ",positive
candy and cheeky ,positive
distinguished film legacy ,positive
is a bowser . ,negative
the latest gimmick from this unimaginative comedian ,negative
` praise the lord ,positive
short of true inspiration ,positive
fairly revealing ,positive
could n't stand to hear ,negative
the little chinese seamstress that transforms this story about love and culture into a cinematic poem ,positive
a bad movie that ,negative
the party favors to sober us up with the transparent attempts at moralizing ,negative
filter out the complexity ,positive
"klein , charming in comedies like american pie and dead-on in election , ",positive
that this noble warlord would be consigned to the dustbin of history ,negative
the film ... presents classic moral-condundrum drama : what would you have done to survive ? ,positive
every bad action-movie line in history ,negative
ranks with the best of herzog 's works ,positive
firing on all cylinders ,positive
", this gender-bending comedy is generally quite funny . ",positive
"over its seemingly eternal running time to pique your interest , your imagination , your empathy or anything , really , save your disgust and your indifference ",negative
was more diverting and thought-provoking than i 'd expected it to be . ,positive
become very involved ,positive
this listless feature ,negative
", the movie stirs us as well . ",positive
"hardly an objective documentary , but it 's great cinematic polemic ... ",positive
for everyone ,positive
always destined to be measured against anthony asquith 's acclaimed 1952 screen adaptation . ,positive
slather clearasil over the blemishes of youth ,negative
the act is still charming here . ,positive
"this charming but slight tale has warmth , wit and interesting characters compassionately portrayed . ",positive
", the sum of all fears generates little narrative momentum , and invites unflattering comparisons to other installments in the ryan series . ",negative
b-movie imagination ,negative
flawed but engrossing ,positive
who die hideously ,negative
watch on video at home ,negative
"although god is great addresses interesting matters of identity and heritage , it 's hard to shake the feeling that it was intended to be a different kind of film . ",negative
paul bettany is cool . ,positive
nearly every cliché ,negative
film that will enthrall the whole family ,positive
you could easily mistake it for a sketchy work-in-progress that was inexplicably rushed to the megaplexes before its time . ,negative
frequent flurries of creative belly laughs ,positive
concentration ,positive
a low-rent retread ,negative
a film that will enthrall the whole family . ,positive
is cumbersome ,negative
"parker and co-writer catherine di napoli are faithful to melville 's plotline , they and a fully engaged supporting cast ... have made the old boy 's characters more quick-witted than any english lit ",positive
user-friendly ,positive
"'s both degrading and strangely liberating to see people working so hard at leading lives of sexy intrigue , only to be revealed by the dispassionate gantz brothers as ordinary , pasty lumpen ",positive
"other words , about as bad a film ",negative
one of the most savagely hilarious social critics ,positive
blade 2 is definitely a cut above the rest . ,positive
i 'm sure there 's a teenage boy out there somewhere who 's dying for this kind of entertainment . ,negative
is blazingly alive and admirable on many levels ,positive
to overcome the cultural moat surrounding its ludicrous and contrived plot ,negative
"truly , truly bad movie ",negative
seem to be introverted young men with fantasy fetishes ,positive
a fleet-footed and pleasingly upbeat family ,positive
are n't ,negative
strongly reminiscent ,negative
a thin notion ,negative
"a bilingual charmer , ",positive
had more to do with imagination than market research ,positive
a script ( by paul pender ) made of wood ,negative
it must be the end of the world : the best film so far this year is a franchise sequel starring wesley snipes . ,positive
loathe him ,negative
necessary viewing for sci-fi fans ,positive
as an exploratory medical procedure or an autopsy ,negative
thriller with enough unexpected twists ,positive
the legendary wit 's ,positive
i have to admit that i am baffled by jason x. ,negative
"costner 's warm-milk persona is just as ill-fitting as shadyac 's perfunctory directing chops , and ",negative
the story really has no place to go since simone is not real -- she ca n't provide any conflict ,negative
rarely work in movies now ,negative
"'s a wise and powerful tale of race and culture forcefully told , with superb performances throughout . ",positive
goofiest stuff ,positive
it may be the most oddly honest hollywood document of all ,positive
this poor remake of such a well loved classic ,negative
's most memorable about circuit ,positive
into a cinematic poem ,positive
the best of the pierce brosnan james bond ,positive
that makes it attractive throughout ,positive
", while it may not rival the filmmaker 's period pieces , is still very much worth seeing ",positive
"like all great films about a life you never knew existed , it offers much to absorb and even more to think about after the final frame . ",positive
rush to the theater for this one ,positive
that was inexplicably rushed to the megaplexes before its time ,negative
a moving story of determination and the human spirit . ,positive
makes little attempt to give voice to the other side ,negative
balance all the formulaic equations in the long-winded heist comedy ,negative
", the acting is robotically italicized , ",negative
the most fragmented charms ,positive
"hugh grant , who has a good line in charm , ",positive
a jaunt down memory lane for teens ,positive
why it works as well as it does ,positive
useless ,negative
with miscalculations ,negative
a brief amount ,positive
perry 's good and ,positive
it one of the year 's most enjoyable releases ,positive
loosely connected characters and plots that never quite gel ,negative
"does too much meandering , norton has to recite bland police procedural details , fiennes wanders around in an attempt to seem weird and distanced , hopkins looks like a drag queen . ",negative
lighter ,positive
effectively chilling ,positive
"has little insight into the historical period and its artists , particularly in how sand developed a notorious reputation ",negative
has the capability of effecting change and inspiring hope ,positive
softheaded metaphysical claptrap ,negative
a music scene that transcends culture and race ,positive
shrill and ,negative
screams ,negative
", with his brawny frame and cool , composed delivery , fits the bill perfectly ",positive
the product ,positive
"as good , ",positive
"delivers the sexy razzle-dazzle that everyone , especially movie musical fans , has been hoping for . ",positive
different ( and better ) ,positive
"an unsettling , memorable cinematic experience that does its predecessors proud . ",positive
sc2 is an autopilot hollywood concoction lacking in imagination and authentic christmas spirit ,negative
"from the choppy editing to the annoying score to ` special effects ' by way of replacing objects in a character 's hands below the camera line , `` besotted '' is misbegotten ",negative
the town has kind of an authentic feel ,positive
", hole-ridden plotting ",negative
the perverse pleasure of watching disney scrape the bottom of its own cracker barrel ,negative
( and lovely ,positive
lackluster script ,negative
leaves no southern stereotype unturned ,negative
"as for children , they wo n't enjoy the movie at all . ",negative
"even if you 've never heard of chaplin , you 'll still be glued to the screen . ",positive
will find millions of eager fans ,positive
of black indomitability ,negative
realize there 's no place for this story to go but down ,negative
"infuses hubert with a mixture of deadpan cool , wry humor and just the measure of tenderness required to give this comic slugfest some heart . ",positive
"colorful , dramatized pbs program ",positive
the jokes are sophomoric ,negative
that really gives the film its oomph ,positive
"perfectly executed and wonderfully sympathetic characters , who are alternately touching and funny ",positive
"this is rote spookiness , with nary an original idea ( or role , or edit , or score , or anything , really ) in sight , and ",negative
"julie davis is the kathie lee gifford of film directors , sadly proving once again ego does n't always go hand in hand with talent . ",negative
makes my big fat greek wedding look like an apartheid drama ,negative
in practically every facet of inept filmmaking ,negative
twitchy acting ,negative
interesting matters of identity and heritage ,positive
is not even half the interest ,negative
"-- and at times , all my loved ones more than flirts with kitsch -- the tale commands attention . ",positive
i pledge allegiance to cagney and lacey . ,positive
a so-called ` comedy ' and not laugh ,negative
the screenwriter responsible for one of the worst movies of one year ,negative
smutty ,negative
", flat dialogue ",negative
"there are plenty of scenes in frida that do work , but rarely do they involve the title character herself . ",positive
a terrible adaptation ,negative
"of cat-and-mouse , three-dimensional characters and believable performances ",positive
the worst -- and only -- killer website movie ,negative
that returns the martial arts master to top form ,positive
good-natured ,positive
well-edited ,positive
powerful and astonishingly vivid holocaust drama ,positive
a pathetically inane and unimaginative ,negative
"'s back in form , with an astoundingly rich film ",positive
amuses ,positive
exceptionally well acted by diane lane and richard gere . ,positive
"to the overcooked , ham-fisted direction , which has all the actors reaching for the back row ",negative
smokers only ,negative
the intelligence or sincerity it unequivocally deserves ,positive
's a delightfully quirky movie to be made from curling ,positive
a stand up and cheer flick ,positive
got it right ,positive
plodding action sequences ,negative
", 91-minute trailer ",negative
"the audience when i saw this one was chuckling at all the wrong times , and that 's a bad sign when they 're supposed to be having a collective heart attack ",negative
this is n't worth sitting through ,negative
ca n't remember the last time i saw worse stunt editing or cheaper action movie production values than in extreme ops ,negative
", flawed humanity ",negative
where their heads were is anyone 's guess . ,negative
"few films have been this odd , inexplicable and unpleasant . ",negative
suck up ,negative
rather unique approach ,positive
"amusing , but ultimately so ",positive
shockingly manages to be even worse than its title ,negative
comfort food ,positive
too textbook to intrigue ,negative
"essentially ruined -- or , rather , ",negative
"a pointed , often tender , examination ",positive
that it could have been a hoot in a bad-movie way if the laborious pacing and endless exposition had been tightened ,negative
"as it is a unique , well-crafted psychological study of grief ",positive
barbershop '' is a good-hearted ensemble comedy with a variety of quirky characters and an engaging story . ,positive
viewers out in the cold and undermines some phenomenal performances ,negative
"perry 's good and his is an interesting character , ",positive
"a pleasant distraction , ",positive
is n't scary ,negative
", composed delivery ",positive
love reading and/or poetry ,positive
a depressing story ,negative
"the following things are not at all entertaining : the bad sound , the lack of climax and , worst of all , watching seinfeld ( who is also one of the film 's producers ) do everything he can to look like a good guy ",negative
acting that could be any flatter ,negative
mr. audiard 's direction is fluid and quick . ,positive
a rude black comedy about the catalytic effect a holy fool has upon those around him in the cutthroat world of children 's television . ,negative
4ever is neither a promise nor a threat so much as wishful thinking . ,negative
misleading ,negative
"follow the same blueprint from hundreds of other films , sell it to the highest bidder and walk away without anyone truly knowing your identity ",negative
feels so distant you might as well be watching it through a telescope ,negative
are often engaging ,positive
his way to turn the legendary wit 's classic mistaken identity farce into brutally labored and unfunny hokum ,negative
immensely entertaining ,positive
"is sentimental but feels free to offend , is analytical and then surrenders to the illogic of its characters , is about grief and yet permits laughter . ",positive
scratch for a lesson in scratching ,negative
of being overrun by corrupt and hedonistic weasels ,negative
"with a smile that says , ` if i stay positive , maybe i can channel one of my greatest pictures , drunken master ",positive
ca n't recommend it . ,negative
the only fun part of the movie is playing the obvious game . ,negative
insufferably naive . ,negative
exercise in sham actor workshops and an affected malaise . ,negative
laughter and self-exploitation ,positive
about schmidt is undoubtedly one of the finest films of the year . ,positive
after a while ,negative
this in recompense : a few early laughs scattered around a plot as thin ,negative
is n't afraid to provoke introspection in both its characters and its audience ,positive
getting into too many pointless situations ,negative
if you believe that the shocking conclusion is too much of a plunge or ,negative
beloved-major ,positive
"there must be an audience that enjoys the friday series , but i would n't be interested in knowing any of them personally . ",negative
a glimmer ,positive
carry the film with their charisma ,positive
"than home alone raised to a new , self-deprecating level ",negative
uses modern technology to take the viewer inside the wave ,positive
enjoy the perfectly pitched web of tension that chabrol spins ,positive
could have used my two hours better watching being john malkovich again ,negative
but it 's great cinematic polemic ,positive
"no charm , no laughs , no fun , no reason to watch . ",negative
get caught up in the thrill of the company 's astonishing growth ,positive
seems endless . ,negative
lively ,positive
the kind of movie that leaves vague impressions and a nasty aftertaste but little clear memory of its operational mechanics . ,negative
the script ? ,negative
de niro 's right-hand goombah ,negative
i would leave the theater with a lower i.q. than when i had entered ,negative
a chinese film depict a homosexual relationship in a mature and frank fashion ,positive
", the lady and the duke represents the filmmaker 's lifelong concern with formalist experimentation in cinematic art . ",positive
the viewers will feel they suffer the same fate ,negative
of fun ,positive
delivers a monologue that manages to incorporate both the horror and the absurdity of the situation in a well-balanced fashion . ,positive
in the excesses of writer-director roger avary ,negative
combined with indoctrinated prejudice ,negative
been leavened by a charm that 's conspicuously missing from the girls ' big-screen blowout ,negative
"the characters , cast in impossibly contrived situations ",negative
run for your lives ! ,negative
renewal ,positive
"in all the annals of the movies , few films have been this odd , inexplicable and unpleasant . ",negative
an admirable reconstruction of terrible events ,positive
emerges from the simple fact that the movie has virtually nothing to show . ,negative
demonstrating vividly that the beauty and power of the opera reside primarily in the music itself ,positive
is so clumsily sentimental and ineptly directed it may leave you speaking in tongues . ,negative
"this cloying , voices-from-the-other-side story ",negative
try hard but come off too amateurish and awkward . ,negative
is unusual but unfortunately also irritating . ,negative
cultural ,positive
often food-spittingly ,positive
"is clever and funny , ",positive
", the film never recovers from the clumsy cliché of the ugly american abroad , and the too-frosty exterior ms. paltrow employs to authenticate her british persona is another liability . ",negative
has the dubious distinction of being a really bad imitation of the really bad blair witch project ,negative
fights ,negative
speaks more of the season than the picture ,negative
jackie chan movies are a guilty pleasure - ,positive
with an obvious rapport with her actors and a striking style behind the camera ,positive
( `` safe conduct '' ) is a long movie at 163 minutes but ,positive
"is surely everything its fans are hoping it will be , and in that sense is a movie that deserves recommendation ",positive
a small but rewarding comedy ,positive
is a success in some sense ,positive
provoked to intolerable levels ,negative
has secrets buried at the heart of his story and knows how to take time revealing them ,positive
creative film ,positive
of the things costner movies are known for ,positive
to suffer ' ,negative
"'s a fine , focused piece of work that reopens an interesting controversy and never succumbs to sensationalism ",positive
"little action , almost no suspense or believable tension , one-dimensional characters up the wazoo and sets that ",negative
drags the film ,negative
"below may not mark mr. twohy 's emergence into the mainstream , but his promise remains undiminished . ",positive
hollywood has crafted a solid formula for successful animated movies ,positive
"'s a feel-bad ending for a depressing story that throws a bunch of hot-button items in the viewer 's face and asks to be seen as hip , winking social commentary . ",negative
lacks in depth ,negative
hard to believe that a life like this can sound so dull ,negative
is of brian de palma 's addiction to the junk-calorie suspense tropes that have all but ruined his career ,negative
"invigorating , surreal , and resonant with a rainbow of emotion ",positive
's a part of us that can not help be entertained by the sight of someone getting away with something . ,positive
treats us to an aimless hodgepodge ,negative
"energetic , extreme-sports adventure ",positive
quality ,positive
"white oleander may leave you rolling your eyes in the dark , ",negative
's hard to understand why anyone in his right mind would even think to make the attraction a movie . ,negative
expressing the way many of us live -- someplace between consuming self-absorption and insistently demanding otherness ,negative
gifted korean american stand-up ,positive
big trouble could be considered a funny little film . ,positive
"some of the filmmakers who have directed him , especially the coen brothers and steven soderbergh ",positive
leaves a lot to be desired . ,negative
affirms ,positive
"dip into your wallet , swipe 90 minutes of your time , ",negative
bilked unsuspecting moviegoers ,negative
"the film 's sense of imagery gives it a terrible strength , but ",positive
quirky iranian drama secret ballot ,positive
south park ,positive
the procession ,positive
virtually absent ,negative
of middle eastern world politics ,positive
ever reaching the comic heights it obviously desired ,negative
"of college dorm rooms , a subtlety that makes the silly , over-the-top coda especially disappointing ",negative
that extra little something that makes it worth checking out at theaters ,positive
are in tatters ,negative
the poor quality of pokemon 4 ,negative
fierce grandeur ,positive
an entertainment destination ,positive
so devoid of pleasure or sensuality that it can not even be dubbed hedonistic . ,negative
is the kind of production that would have been funnier if the director had released the outtakes theatrically and used the film as a bonus feature on the dvd ,negative
it 's likely to please audiences who like movies that demand four hankies ,positive
goodness for this signpost ,positive
unexpectedly rewarding ,positive
"in old-fashioned screenwriting parlance , ms. shreve 's novel proved too difficult a text to ` lick , ' despite the efforts of a first-rate cast . ",negative
wasted potential ,negative
a plot as musty as one of the golden eagle 's carpets ,negative
"gets sillier , not scarier ",negative
"perceptive , good-natured movie ",positive
"we get an ugly , mean-spirited lashing out by an adult who 's apparently been forced by his kids to watch too many barney videos . ",negative
you 've spent the past 20 minutes looking at your watch ,negative
appreciates the art and reveals a music scene that transcends culture and race ,positive
a seven rip-off ,negative
"the first mistake , i suspect , ",negative
the near-fatal mistake of being what the english call ` too clever by half ,negative
but it 's hardly a necessary enterprise . ,negative
's hardly over before it begins to fade from memory ,negative
lousy direction ,negative
"the , yes , snail-like pacing and ",negative
` zany ' does n't necessarily mean ` funny ,negative
"this movie is 90 minutes long , and ",negative
uses grant 's own twist of acidity to prevent itself from succumbing to its own bathos ,positive
give blade fans another look at wesley snipes ' iconic hero doing battle with dozens of bad guys -- at once ,positive
"combined with so much first-rate talent ... could have yielded such a flat , plodding picture ",negative
that it makes my big fat greek wedding look like an apartheid drama ,negative
", standard disney animated fare , with enough creative energy and wit to entertain all ages . ",positive
the heart of the film ,positive
"to a satisfying complete picture of this particular , anciently demanding métier ",positive
jaglom offers the none-too-original premise that everyone involved with moviemaking is a con artist and a liar . ,negative
cinema 's directorial giants ,positive
was n't one of the film 's virtues . ,negative
one of the best silly horror movies of recent memory ,positive
"two fine actors , morgan freeman and ashley judd ",positive
a funny no-brainer ,positive
"the evocative imagery and gentle , lapping rhythms of this film are infectious -- it gets under our skin and draws us in long before the plot kicks into gear . ",positive
shabby digital photography ,negative
is an imaginative teacher of emotional intelligence in this engaging film about two men who discover what william james once called ` the gift of tears . ' ,positive
director david fincher and writer david koepp ca n't sustain it . ,negative
a pretentious mess ... ,negative
"cho 's face is ) an amazing slapstick instrument , creating a scrapbook of living mug shots . ",positive
bollywood/hollywood will undoubtedly provide its keenest pleasures to those familiar with bombay musicals ,positive
to imagine anybody ever being `` in the mood '' to view a movie as harrowing and painful as the grey zone ,negative
"funny , insightfully human ",positive
"openness , ",positive
"treats his women -- as dumb , credulous , unassuming , subordinate subjects ",negative
feels rigged and sluggish . ,negative
if considerably less ambitious ,negative
when poor hermocrates and leontine pathetically compare notes about their budding amours ,negative
"the explosion essentially ruined -- or , rather , overpowered -- the fiction of the movie for me . ",negative
a sensitive and astute ,positive
"there 's no excuse for following up a delightful , well-crafted family film with a computer-generated cold fish . ",negative
's provocative stuff ,positive
understands characters must come first ,positive
on a group of extremely talented musicians ,positive
"excels because , unlike so many other hollywood movies of its ilk , it offers hope ",positive
no amount of nostalgia for carvey 's glory days ,negative
and mainly unfunny ,negative
any sexual relationship that does n't hurt anyone and works for its participants ,positive
achieved ,positive
", pointless , stupid ",negative
give `` scratch '' a second look ,positive
mystery devoid ,negative
more sophisticated and ,positive
one of those movies that catches you up in something bigger than yourself ,positive
stalking ,negative
a work of extraordinary journalism ,positive
corrupt ,negative
"pale xerox of other , better crime movies . ",negative
a loathsome movie ,negative
clever in spots ,positive
"an enjoyable , if occasionally flawed , experiment ",positive
", bigelow demonstrates a breadth of vision and an attention to detail that propels her into the upper echelons of the directing world . ",positive
murphy and wilson actually make a pretty good team ... ,positive
spreads itself too thin ,negative
a real documentary ,positive
humorous and ,positive
letting its imagery speak for it while it forces you to ponder anew what a movie can be . ,positive
is better than any summer blockbuster ,positive
has stopped challenging himself ,negative
hits all the verbal marks it should . ,positive
it is derivative ,negative
a jaw-droppingly beautiful work that upends nearly every cliché of japanese animation while delivering a more than satisfactory amount of carnage ,positive
"takes a really long , slow and dreary time to dope out what tuck everlasting is about . ",negative
strikingly devious ,positive
no worse a film ,negative
"wickedly funny , visually engrossing ",positive
it 's so devoid of joy and energy it makes even jason x ... look positively shakesperean by comparison . ,negative
", it 'll probably be in video stores by christmas , and it might just be better suited to a night in the living room than a night at the movies . ",negative
could force you to scratch a hole in your head . ,negative
is dudsville . ,negative
will find millions of eager fans . ,positive
of warmth and humor ,positive
subjective ,negative
its initial excitement ,positive
"keenly observed and refreshingly natural , swimming gets the details right , from its promenade of barely clad bodies in myrtle beach , s.c. , to the adrenaline jolt of a sudden lunch rush at the diner . ",positive
dragons ,negative
"while dutifully pulling on heartstrings , directors dean deblois and chris sanders valiantly keep punching up the mix . ",positive
can not overcome blah characters ,negative
what hibiscus grandly called his ` angels of light ,positive
over-dramatic at times ,negative
"very , very good reasons ",positive
( `` laissez-passer '' ) ,negative
it will make you wish you were at home watching that movie instead of in the theater watching this one . ,negative
"escapes the precious trappings of most romantic comedies , infusing into the story very real , complicated emotions ",positive
"those willing to endure its extremely languorous rhythms , waiting for happiness ",negative
"it 's an entertaining movie , and the effects , boosted to the size of a downtown hotel , will all but take you to outer space . ",positive
"that , in itself , is extraordinary . ",positive
real characters ,positive
"an ambitiously naturalistic , albeit half-baked , drama about an abused , inner-city autistic teen . ",positive
modestly surprising ,positive
"cut their losses -- and ours -- and retitle it the adventures of direct-to-video nash , and send it to its proper home ",negative
disjointed mess ,negative
has little insight ,negative
"holm does his sly , intricate magic , and ",positive
"the action scenes have all the suspense of a 20-car pileup , while the plot holes are big enough for a train car to drive through -- if kaos had n't blown them all up . ",negative
crowd-pleaser ,positive
if you 're going to subjugate truth to the tear-jerking demands of soap opera ,negative
the ` ick ' in ` classic ,negative
"human nature , in short , is n't nearly as funny as it thinks it is ; neither is it as smart . ",negative
84 minutes is short ,positive
inspirational ,positive
