Aspect Category,News Headlines
Politics,فاروق نائيڪ به چاهيو پر بائيڪاٽ ٿي ويو، پ پ اڳواڻ به ڳالهين کي ساراهين ٿا، ن ليگ به ڳالهين جي تجويز کي ساراهيو آهي
Crime,جوابدارن شروعاتي جاچ دوران انڪشاف ڪندي ٻڌايو ته اهو ڪوئيٽا کان ڪراچي سندن پنجون چڪر هو
Politics,سوئيڊن واقعو، دنيا ۾ وڌندڙ اسلام دشمني خلاف آواز اُٿارڻ جو وقت اچي ويو آهي: محمد رضوان
Politics,دهشتگردي ٽوڙ ۽ بئنڪنگ عدالت مان عمران خان جون ضمانتون منظور
Politics,صوبن بابت ڪميٽي رد، ڌاري آبادڪاري روڪڻ لاءِ سنڌ جو شعور مزاحمت ڪندو: حيدرآباد ڪانفرنس
Sports,اسان پنهنجو مڊل آرڊر مضبوط ڪيو تھ ٽيم ورلڊ ڪپ ۽ ايشيا ڪپ کٽائڻ جي صلاحيت رکي ٿي
Crime,ڪراچي: عورت اسپتال ڀرسان نينگر جو لاش ڇڏي فرار
Politics,ايم ڪيو ايم پاڪستان جي رابطا ڪميٽي جو اجلاس ڊاڪٽر خالد مقبول صديقي جي صدارت هيٺ بهادر آباد مرڪز ۾ ٿيو
Politics,وڏي وزير سيد مراد علي شاهه وڌيڪ چيو ته آدمشماري درست ٿئي ۽ جيڪي ان ۾ خاميون آهن، اُهي درست ڪيون وڃن ۽ سنڌ جا خدشا ختم ڪيا وڃن.
Crime,پير جو ڳوٺ: حادثي ۾ 2 نينگريون فوت، هڪ زخمي
Politics,پرڏيهي ميڊيا موجب، ڪرناٽڪ رياستي اسيمبلي جي چونڊن ۾ ڪانگريس 224 سيٽن تي ٻڌل اسيمبلي ۾ 135 سيٽون کٽي صوبائي حڪومت ٺاهڻ لاءِ سادي اڪثريت حاصل ڪري ورتي آهي، جڏهن ته بي جي پي کي رڳو 66 سيٽن تي ڪاميابي ملي آهي.
Politics,ڊي جي آءِ ايس آءِ ۽ فوجي ترجمان جي پريس ڪانفرنس تي بلاول جو اهم موقف
Crime,سڄي دنيا ۾ گهربل ڏوهاري گرفتار
Sports,پاڪ-ڀارت دنگل بابت بابر اعظم جو اهم بيان اچي ويو
Crime,گهوٽڪي: قادرپور شهر لڳ آندل سندراڻي ٿاڻي جي پوليس چوڪي تي ڏينهن ڏٺي جو ڌاڙيلن جو حملو، هڪ اهلڪار شهيد ۽ 2 زخمي
Politics,احتساب عدالت مان اڻ شنوائي جوڳا قرار ڏنل ڪيس قرار چيئرمين نيب ڪنهن ٻئي لاڳاپيل فورم ڏانهن اماڻي سگهندو.
Sports,احسان الله جي بائونسر تي افغان بيٽر نجيب زادران زخمي ٿي پيو
Politics,شرپسندن روڊ رستا بند ڪيا ته سخت ڪارروائي ڪنداسين: وڏو وزير
Politics,ذريعن موجب خورشيد شاهه پاڪستان پيپلزپارٽي جو ايم اين اي ۽ سينيئر سياستدان آهن پر پي ڊي ايم ۽ پيپلزپارٽي جي گڏيل حڪومت ۾ خورشيد شاهه کي واٽر اينڊ پاور جي وزارت به نواز ليگ جي ڪوٽا مان ڏني وئي آهي،
Politics,مسلم ليگ (ن) جي سينيئر نائب صدر مريم نواز تحريڪ انصاف جي چيئرمين عمران خان تي طنز سان ڀرپور تبصرو ڪندي چيو آهي ته قوم ليڊر ۽ گدڙ ۾ فرق ڄاڻي ورتو آهي
Politics,ايم ڪيو ايم ذريعن جو چوڻ آهي ته ملاقات ۾ ملڪي سياسي صورتحال، ضمني چونڊن ۽ آدمشماري بابت تفصيلي ڳالهه ٻولهه ڪئي وئي.
Sports,ميڊيا مطابق ايڊن پارڪ ۾ شيڊول ميچ ۾ ڪاميابي جي حوالي سان ٻنهي ٽيمن جي ڪپتانن عزم ڪيو آهي.
Sports,انگلينڊ جي بيٽر ۽ آئي پي ايل ۾ چنائي سپر ڪنگ جي پليئر معين علي پنهنجي رٽائرمينٽ جي حوالي سان پکڙجندڙ ڳالهين کي رد ڪندي چيو آهي تھ جهڙي ريت منهنجي بيٽ کيڏي رهي آهي، مون کي نٿو لڳي تھ مان رٽائرمينٽ وٺي رهيو آهيان.
Crime,خبر موجب ڪنري ويجهو چيل بند اسٽاپ وٽ تيز رفتار ڪار رستو پار ڪندڙ پورھيتن مٿان چڙھي ڪلٽي ٿي وئي، جنهن سبب ٻن سالن جو ڪيلاش ۽ سندس ڏاڏي 55 سالن جي اومان ٿڏي تي فوت ويا.
Crime,جوابدارن جا ٽي ساٿي کين اسپتال کڻي پهتا جتان ٽنهي کي گرفتار ڪيو ويو.
Politics,هن وڌيڪ چيو ته 9 مئي جي واقعن جي جاچ ٿيڻ تمام ضروري آهي، ڇاڪاڻ ته هن سازش ۾ اها ڳالهه به سامهون ايندي ته رٿابندي جوڙي وئي ته تحريڪ انصاف کي فوج جي سامهون بيهاريو وڃي ۽ فوج جي ذريعي پي ٽي آ جماعت کي ختم ڪيو وڃي، اهو منصوبو ملڪ لا خطرناڪ آهي، جنهن جي پٺيان پي ڊي ايم آهي.
Sports,ميڊيا مطابق آئي سي سي ٽي 20 ليگز جي وڌندڙ اثرن جو جائزو وٺڻ لاءِ ٽھ رڪني ورڪنگ گروپ بھ قائم ڪري ورتو، جيڪو گذريل سال ٿيل اجلاس ۾ قائم ڪرڻ جو فيصلو ڪيو ويو هو، ورڪنگ گروپ ۾ سي اي او نيوزيلينڊ ڪرڪيٽ ڊيوڊ وائيٽ، وسيم خان ۽ ايمريٽس ڪرڪيٽ بورڊ جو مبشر عثماني ميمبر طور کنيا ويا آهن، جن کي عالمي ڪرڪيٽ بچائڻ جو اهم ٽاسڪ حوالي ڪيو ويو آهي
Sports,خوشدل شاهه 25، رلي روسو 52 ۽ ڪپتان محمد رضوان 34 رنسون ٺاهي منزل تائين پهچڻ جي ڪوشش ڪئي پر لاهور جا بالر ملتان جي ارادن اڳيان رڪاوٽ بڻجي ويا، شاهين آفريدي طوفاني بئٽنگ بعد 4 وڪيٽون وٺي فائنل جو هيرو رهيو
Sports,مونٽي ڪارلو ماسٽرز اوپن ٽينس ۾ ايليگزينڊر زيريوف ۽ گريگور دميتروف ميچ کٽي ورتا
Politics,مراد علي شاهه چيو ته آخري اين ايف سي ايوارڊ 2010ع ۾ پيپلز پارٽيءَ جي حڪومت ڏنو هو ۽ ان کانپوءِ اڃان تائين انتظار آهي.
Politics,جماعت اسلامي پاران سئو سيٽن تي ڪاميابي جي دعويٰ، چونڊ نتيجا تبديل ڪرڻ جو الزام
Sports,اڳوڻي ڪرڪيٽر لکيو” هو زخمي آهي ۽ پاڪستان لاءِ سندس اڻ ڳڻيون خدمتون آهن، اسان ڪهڙي پاسي وڌي رهيا آهيون؟، مهرباني ڪري قومي هيروز لاءِ عزت ڏيکاريو“.
Sports,هڪ بيان ۾ سنيل گواسڪر ان معاملي تي ڳالهائيندي چيو ته هن ميدان ۾ اِها صورتحال لائيو ناهي ڏٺي ۽ سوشل ميڊيا تي گردش ڪندڙ وڊيوز ڏٺيون آهن تنهنڪري کيس اصل معاملي بابت ڄاڻ نه آهي.
Politics,آمريڪا جي پرڏيهي کاتي جي ترجمان ويدنت پٽيل پريس ڪانفرنس ڪندي چيو ته پاڪستان جي حالتن جي نگراني ڪري رهيا آهيون، مضبوط جمهوري پاڪستان آمريڪا جي مفاد ۾ آهي.
Crime,فيض گنج ۾ گهر تي حملو، حملي آور عورت ۽ 2 ٻارن کي اغوا ڪري ويا.
Crime,انڊس هاءِ وي تي پوليس مقابلو، هڪ جوابدار مارجي ويو.
Politics,ماڻهو جيل ڀريو تحريڪ جو ڀڀڪيون هڻن ٿا پر عمران جا ٽائيگر پوليس کي ڏسي لڪي ويا: شرجيل ميمڻ
Crime,ٽنڊي مستي مان جوڙي کي پوليس بازياب، 8 جوابدار گرفتار، جوابدار اسپتال مان جوڙي کي اغوا ڪرڻ جي ڪوشش ڪري رهيا آهن.
Politics,پ پ کي ڪراچي مان ٻڙي نٿا ڪري سگهو، جماعت اسلامي به اسان جو مينڊيٽ قبول ڪري.
Crime,صوبائي گهرو وزير موجب قانون هٿ ۾ کڻندڙن کي سختي سان منهن ڏنو ويندو.
Crime,گمبٽ ۾ پوليس ڪارروائي، هڪ جوابدار گرفتار، منشيات هٿ.
Crime,ايس ايس پي ڏکڻ اسد رضا موجب ڪار ۾ 4 جوابدار سوار هئا، هڪ جوابدار جي هٿ ۾ رائفل هئي ، جوابدار نشي جي حالت ۾ هئا،
Politics,يو اي ايِ جي اختيارين طرفان ان موٽرسائيڪل کي هنگامي حالتن دوران وارياسي علائقي ۾ ماڻهن جي ڳولا ۽ سيڪيورٽي لاءِ استعمال ڪرڻ جي منصوبابندي ڪئي وئي آهي.
Sports,هوڏانهن ويسٽ انڊيز جي ٽيم يو اي اي بعد زمبابوي ويندي، جتي ورلڊ ڪپ ڪواليفائر ميچون کيڏندي.
Sports,آءِ سي سي موجب ٽي ٽوئنٽي ورلڊ ڪپ لاءِ 8 ٽيمن سڌو سنئون ڪواليفائي ڪيو آهي جڏهن ته ٻه ٽيمون گلوبل ڪواليفائرز مان اينديون، ڏکڻ آفريڪا ۾ ٿيندڙ ٽي 20 ورلڊ ڪپ جي بنياد تي 8 ٽيمن ڪواليفائي ڪيو آهي، ٽيمن سڌي ريت ڪواليفائي ڪيو آهي.
Politics,زلمي خليل زاد، پاڪستان جي سياسي صورتحال بابت بيانن کان لاتعلقي ظاهر ڪري ڇڏي
Politics,بلاول ڀٽو آچر تي اسلام آباد کان آزاد ڪشمير جي دوري تي ويندو
Sports,نئين تجويز موجب، پي سي بي رائونڊ ون جون چار ميچون پاڪستان ۾ ڪرائڻ جي تجويز ڏني آهي ۽ پي سي بي جو چوڻ آهي ته ايشيا ڪپ جي فائنل سميت رائونڊ ٽو جون سموريون ميچون گڏيل عرب رياستن ۾ ڪرايون وڃن.
Crime,گوتم ناپر ۾ ٻن گروپن ۾ جهيڙو، 3 ڄڻا مارجي ويا، 2 زخمي.
Sports,صائم ايوب 34 بالن تي 5 ڇڪن ۽ 6 چوڪن جي مدد سان 74 رنسن جي شاندار اننگز کيڏڻ کانپوءِ آئوٽ ٿي ويو جڏهن ته بابر اعظم 60 بالن تي پي ايس ايل جي پهرين سينچري اسڪور ڪئي ۽ هن 3 ڇڪن ۽ 15 چوڪن جي مدد سان 115 رنسون ٺاهيون. ٺاهيو ۽ ٻاهر ڀڄي ويو. رومن پاول 35 ۽ ٽام ڪوهلر ڪيڊمور 7 رنسون ٺاهي ناٽ آئوٽ رهيو.
Politics,سچل سرمست جي عرس جي سرڪاري تقريبن جو افتتاح، درگاهه کي بحال ڪرائبو: وڏو وزير
Politics,ڀارتي ميڊيا موجب هن وقت ڀارت جو ڪُل 62 ڪينٽونمينٽ بورڊز آهن.
Politics,چيف جسٽس ريمارڪس ڏنا ته سياسي جماعتن کي نوٽيس جاري ڪري رهيا آهيون، نگران حڪومت 90 ڏينهن کان وڌيڪ برقرار رهڻ تي به سوال اٿي ٿو، ڳالهين جو معاملو آهي ته 8 آڪٽوبر تي ضد نٿو ڪري سگهجي
Politics,ڪراچي (ويب ڊيسڪ) تحريڪ انصاف چيئرمين عمران خان جي آفيشل ٽوئيٽر اڪائونٽ تان ٽوئيٽر طرفان سهولت ختم ٿيندي ئي ”بليو ٽڪ“ هٽايو ويو.
Sports,پاڪ – ڀارت ورلڊ ڪپ مقابلو آمريڪا ۾ ٿيڻ جو امڪان
Sports,ميڊيا مطابق مانچيسٽر سٽي ٻڙي جي ڀيٽ ۾ هڪ گول ڪري ڪرسٽل پيلس کي هارايو.
Crime,ميڊيا مطابق سمير پاران عدالت ۾ جمع ڪرايل چيٽ ۾ شاهه رخ خان کيس والد هجڻ جو واسطو ڏئي قانون موجب پٽ آريان کي آزاد ڪرڻ جي درخواست ڪري ٿو، پر سمير لاچاري ڏيکاري پيو.
Sports,ميڊيا مطابق اڳوڻي ڪرڪيٽر يونس خان گورنر هائوس ۾ گورنر ڪامران ٽيسوري سان ملاقات ڪئي، جنهن ۾ گورنر ڪراچي جي ٽيلنٽ ۾ نکار آڻڻ تي ڪم جو مشورو ڏنو.
Sports,رپورٽ ۾ ڄاڻايو ويو آهي تھ جئي سوريا 7 ٽيسٽ ۾ اهو هدف ماڻيو آهي.
Politics,اسلام آباد : قومي اسيمبلي سپريم ڪورٽ جي فيصلن ۽ شقن تي نظرثاني ۽ نيب چيئرمين جي اختيارن ۾ واڌ بابت بل اتفاق راءِ سان منظور ڪري ورتو
Crime,انٽرپول جي مدد سان چار پاڪستاني يو اي اي مان گرفتار ڪيا ويا آھن
Politics,جڏهن جج ان فيصلي سان متفق ناهن ته عوام ڪيئن ٿو ٿي سگهي؟ جن ججن انڪار ڪيو، انهن کانسواءِ فل ڪورٽ ٺاهيو.
Politics,سنڌ سيڪريٽيريٽ جي سڀني آفيسرن، سڄي سنڌ جي بيوروڪريسي ۽ پارٽي جي سڀني وزيرن کي خورشيد شاهه جا ڪم نه ڪرڻ جو پابندي بڻايو ويو آهي
Crime,جڏھن ته محمد قابل رند سخت زخمي ٿي پيو. کڏھر پوليس ۽ وارثن ايمبولينس ذريعي لاش تعلقا اسپتال سڪرنڊ آندو.
Politics,ملاقات ۾ پنجاب ۽ خيبرپختونخوا ۾ چونڊن بابت سپريم ڪورٽ جي تازي فيصلي تي به مشاورت ڪئي وئي
Politics,هن چيو ته مان ڀارتي وزيراعظم بابت تاريخي حقيقت ورجائي آهي، جنهن کانپوءِ ٻڌو آهي ته مودي جي پارٽي منهنجي سِر جي قيمت ٻه ڪروڙ رپيا مقرر ڪئي آهي. سندس چوڻ هو ته مودي حڪومت گجرات ۾ وڏا ظلم ڪري رهي آهي ۽ ڀارتي مسلمان مودي حڪومت جي تشدد جو نشانو بڻجي رهيا آهن.
Politics,گهرو کاتي کي مختلف معاملن تي تفصيل فراهم ڪيا وڃن ته جيئن وڏي وزير کي سمري موڪلي سگهجي.
Politics,پاڪستان جي تاريخ بلوچن جي قربانين کانسواءِ ناممڪن آهي:وزيراعظم
Politics,هڪ انٽرويو ۾ هن چيو ته پي ٽي آئي چيئرمين جي حفاظتي ضمانت ختم ٿيندي ئي کيس گرفتار ڪري سگهجي ٿو.
Crime,جنهن دوران هڪٻئي مٿان لتن ۽ مڪن جي وسڪاري کانسواءِ جهاز ۾ پيل سامان به اڇلايو ويو،
Sports,وومينز ايشياڪپ : ڇهن ورهين بعد پاڪستان جي ڀارت کي شڪست
Politics,چاهيون ٿا ته دهشتگرد افغانستان کي پاڪستان تي حملن لاءِ لانچ پيڊ طور استعمال نه ڪن: آمريڪا
Politics,مڪاني چونڊون: پ پ ڪراچي ۽ حيدرآباد ۾ سڀني کان اڳتي
Crime,نوري آباد ويجهو پسند پرڻو ڪندڙ شاگردياڻي مبينا طور مڙس هٿان پٿر هڻي قتل
Crime,ڪراچي چرس واهپي ۾ به دنيا کان اڳتي، لسٽ ۾ ٻيون نمبر !
Sports,يوئيفا ڪواليفائر مقابلن ۾ پرتگال، انگلينڊ، ڊنمارڪ ڪامياب
Politics,ترميم کانپوءِ ڪراچي جي ميئر کي 6 مهينن اندر اعتماد جو ووٽ وٺڻو پوندو
Sports,ڇوڪريون هاڻ عالمي ۽ علائقائي چيمپيئن شپ ۽ ايوينٽس ۾ حصو وٺن ٿيون ۽ ٿوري وقت ۾ گھڻو ڪجهه حاصل ڪرڻ ۾ ڪامياب ٿي ويون آهن
Crime,لياري ۾ ڪارروائي، مندر مان چوري ٿيل مورتيون هٿ
Sports,نيوزيلينڊ جي خلاف پهرين ٽي ٽوئنٽي ميچ ۾ لاهور جي قذافي اسٽيڊيم ۾ آل رائونڊر عماد وسيم جي حق ۾ نعرا هنيا ويا جنهن جي وڊيو سوشل ميڊيا تي تيزي سان وائرل ٿي رهي آهي.
Politics,پرڏيهي وزير چيو آهي ته ڪجهه عنصرن جي ضد سبب جيڪڏهن پهرين ڪنهن صوبي خاص ڪري پنجاب ۾ چونڊون ڪرائڻ تي مجبور ڪيو ويو ته ان جا نتيجا سنڌ، بلوچستان ۽ خيبرپختونخواهه تي اثرانداز ٿيندا. پرڏيهي وزير چيو ته ملڪ جي لڳ ڀڳ سمورين سياسي پارٽين کي اعتراض آهي ته ملڪ ۾ ون يونٽ لاڳو ڪرڻ جي اها سازش پوئين دروازي کان ڪئي پئي وڃي، ان ڪري اسان ڪافي عرصي کان اتحادين کي ڳالهين لاءِ قائل ڪرڻ جي ڪوشش ڪري رهيا آهيون.
Sports,ميچ بابت اسان جو رٿيل پلان 70 سيڪڙو ڪامياب رهيو آهي. هڪ سوال جي جواب ۾ هن ٻڌايو تھ سينچري اسڪور جي ڀائيواري وارو خواب ايندڙ ڪنهن ميچ ۾ مڪمل ڪري وٺنداسين.
Crime,پنجاب حڪومت عمران خان جي قتل جي سازش جي الزام تي جڊيشل ڪميشن جوڙي ڇڏي.
Sports,قومي رانديگرن ويٺي ويٺي ” نئين راند “ ايجاد ڪري ورتي، ڏسو وڊيو
Crime,مدئجي با پاس روڊ تي ڊاٽسن ۽ موٽر سائيڪل ۾ ٽڪر ٿيڻ سبب 2 ڄڻا زخمي ٿي پيا.
Crime,سنڌڙي ۾ پوليس جي عدالتي حڪم تي برڪس فيڪٽري تي ڇاپو، 19 ڄڻا بازياب.
Crime,ناري کي مڙس سراج سميجو ۽ ان جي ڀا احسان سميجو ۽ هڪ سئوٽ ٽنهي ڄڻن گڏجي تشدد ڪري قتل ڪيو، پوري جسم تي تشدد جا نشان موجود آهن، هڪ ٻانهن به ٽٽل آهي، چهري ۽ ڄنگهن تي تشدد جا نشان موجود آهي، بعد ۾ لاش کي ڦاهو ڏئي آپگهات جو رنگ ڏنو ويو آهي،
Sports,ميڊيا مطابق سوڪر ايشين ڪپ جي فائنل ۾ ايران جي ٽيم 6 گول ڪري ڪاميابي ماڻي ورتي آهي، جنهن جي سامهون اڳوڻي چيمپيئن جاپان جي ٽيم ڪوبھ گول ڪرڻ ۾ ناڪام ٿي وئي آهي.
Sports,ڪوشل مينڊس 50 رنسن ۽ اينجلو ميٿيوز هڪ رنس سان ڪريز تي موجود آهن.
Sports,هوڏانهن ڪيوي ٽيم پڻ سيريز ۾ ڪم بيڪ ڪرڻ جي تياري ڪري ورتي آهي ۽ اجوڪي ميچ کٽڻ جا جتن ڪندا.
Crime,پوليس موجب گرفتار جوابدارن ۾ جميل حسين، ناظم ملڪ ۽ وجاهت ملڪ شامل آهن
Politics,آمريڪا کي پاڪستان ۾ دهشتگردي جي واقعن تي ڳڻتي، گڏجي ڪم ڪرڻ لا تيار
Politics,سڌ سماءَ واري صوبائي وزير شرجيل انعام ميمڻ چيو آهي ته اڄوڪو ڏينهن پاڪستان جي تاريخ ۾ هڪ ڪارو ڏينهن آهي، پوليس کي عدالتي حڪمن تي عملدرآمد ڪرائڻ کان روڪيو ويو، پي ٽي آئي قانون جو مذاق اڏايو آھي، پوليس ڀڳوڙي کي گرفتار ڪرڻ لاءِ جڏهن زمان پارڪ پهتي ته هو ڀڄي ويو.
Politics,هوڏانهن ان کان اڳ آءِ جي پنجاب پوليس زمان پارڪ ۾ پي ٽي آءِ چيئرمين عمران خان جي گهر تائين رسائيءَ لاءِ لاهور هاءِ ڪورٽ ۾ درخواست داخل ڪندي مؤقف اختيار ڪيو هو ته واقعي واري هنڌ ۽ عمران خان جي گهر تائين بنا ڪنهن رڪاوٽ جي پهچ چاهيون ٿا، واقعي واري هنڌ تي پابندي مڙهيل تنظيم جي ميمبرن جي موجودگي جو شڪ آهي، تنهن ڪري گهر تائين رسائيءَ کانسواءِ جاچ ۽ شاهديون گڏ ڪرڻ جو عمل مڪمل نٿو ٿي سگهي.
Crime,ميرپورخاص: ميرپورخاص جيل ۾ پوليس جي سخت تشدد وگهي مارجي ويل قيدي ڪوٽ غلام محمد جي ڳوٺ نواب يوسف ٽالپر واسي چنيسر عرف ڏاڏو کوسو جو قتل ڪيس سيشن عدالت ميرپورخاص جي حڪم تي سيٽلائيٽ ٽائون ٿاڻي تي قيدي جي ڀاءَ علي محمد ولد عبدالمجيد کوسو جي فريادي تي ڪوٽ غلام محمد ٿاڻي جي اڳوڻي ايس ايڇ او حق نواز جوڻيجو، سينٽرل جيل ميرپورخاص جي جيل سپرنٽينڊنٽ اسد علي رند، ڪوٽ غلام محمد ٿاڻي جي اي ايس آءِ غلام قادر غوري، پوليس سپاهي زبير ميئو، سپاهي جميل ميئو، سپاهي حبيب الله هاليپوٽو، سپاهي اميد علي بزنجو، سينٽرل جيل جي سپاهي علي بهادر، سپاهي سليم رند ۽ سپاهي شاڪر سميت 3 نامعلوم ماڻهن خلاف داخل ڪيو ويو آهي.
Politics,اسپتالون، اسڪول، مسجدون، ايمبولينس ۽ ڪور ڪمانڊر جو گهر ساڙڻ جي منصوبابندي توهان ڪئي.
Politics,اسلام آباد ؛سپريم ڪورٽ جي چيف جسٽس عمر عطا بنديال ۽ جسٽس قاضي فائز عيسيٰ ۾ ٽن ڏينهن دوران ٻي ملاقات ٿي آهي
Politics,پنجاب جي نگران حڪومت 9 مئي جي وڳوڙن ۾ ملوث 30 کان 40 دهشتگردن جي زمان پارڪ ۾ موجود هجڻ جي دعويٰ ڪندي تحريڪ انصاف قيادت کي شرپسند اڄ منجهند تائين پوليس حوالي ڪرڻ جي مهلت ڏئي ڇڏي، عمران خان جي رهائشگاهه کي چئني پاسي کان ڪڙو چاڙهي اچ وڃ وارا رستا بند ڪيا ويا، عمران خان ٻيهر ڳالهيون شروع ڪرڻ ۽ ميڊيا جي موجودگي ۾ زمان پارڪ جو معائنو ڪرائڻ جي آڇ ڪري ڇڏي.
Politics,رپورٽن موجب حبيب الله تي 2022ع ۾ عليحدگي پسند تحريڪ جي اڳواڻي سوڌو بم ڌماڪن ۽ دهشتگرد ڪارروائين جي الزام ۾ فرد جرم لاڳو ڪيو ويو هو جنهن ۾ کيس ايراني اسلامي قانون موجب سزا ٻڌائي وئي هئي.
Sports,ميڊيا مطابق لاهور ۾ رٿيل 14، 15 ۽ 17 اپرل وارين ٽي 20 ميچن جي ٽڪيٽن کي پي سي بي هڪ ڏينهن اڳ آن لائن وڪري لاءِ رکيون هيون، جن مان گهڻيون ٽڪيٽون وڪرو ٿي وڃڻ جا اطلاع مليا آهن.
Politics,وڊيو:”خيرپور ٻڏي ويو پر ميڊيا کي عمران خان جي لڳل آهي“
Crime,برطرف اهلڪار شڪارپور ضلعي جي مختلف ٿاڻن ۽ سي آءِ اي سينٽر تي مقرر هئا.
Politics,عمران خان ماڻهن کي ماڻهن کي فتني لاءِ ڀڙڪايو، جنهن جا ڀڙڪائڻ جا ثبوت موجود آهن، پاڪستان پهريان آهي سياست بعد ۾ آهي.
Politics,صوبائي وزير اسماعيل راهو بدين، ناصر شاهه ڪراچي ويسٽ، ساجد جوکيو ملير، فياض ٻٽ دادو، شبير بجاراڻي ۽ وقار مهدي ڪراچي ڏکڻ،
Crime,ڪراچي ۾ پوليس مقابلو، هڪ جوابدار زخمي حالت ۾ گرفتار.
Sports,ڪيوي بالرن ميٽ هينري ۽ مائيڪل براسويل 3،3 وڪيٽون ورتيون آهن
Politics,اسلام آباد پوليس سيشن ڪورٽ ۾ هلندڙ ڪيس ۾ فرد جرم جي شنوائي تي 3 ڀيرا غير حاضر رهڻ تي تحريڪ انصاف چيئرمين ۽ اڳوڻي وزيراعظم عمران خان کي گرفتار ڪرڻ لا زمان پارڪ لاهور پهچي وئي، پوليس کي وڏي ڏکيائي سان عمران خان جي رهائشگاهه اندر اچڻ ڏنو ويو پر هو پنهنجي ڪمري ۾ موجود نه هو، جنهن بعد پي ٽي آئي جي اڳواڻن ۽ وڪيلن نوٽيس وصول ڪيو، اهلڪار رات دير تائين زمان پارڪ ۾ موجود هئا.
Crime,عدالت ڪيس جي ٻڌڻي 18 مئي تائين ملتوي ڪري ڇڏي.
Crime,مٽياري ۾ روينيو اهلڪارن ۽ پوليس جو گهر تي ڇاپو، ڳوٺاڻن جو احتجاج.
Politics,جسٽس قاضي فائز عيسيٰ اسٽيٽ لائف انشورنس جي ملازم جي ڪيس ۾ حڪم جاري ڪيو، جنهن ۾ هن چيو اميد آهي ته جج، وڪيل ۽ درخواستگذار خوشامدي ۽ تعصبي ٿيڻ جي تاثر کان پاسو ڪندا.
Politics,پشاور، ڪوئيٽا ۽ بهاولپور جا ڪور ڪمانڊر تبديل ٿيڻ جا امڪان
Sports,ميڊيا مطابق نيوزيلينڊ هٿان سريلنڪا کي پهرين ٽيسٽ ميچ ۾ شڪست ملڻ بعد پوائينٽس ٽيبل تي ڀارت وڌيڪ مضبوط ٿيڻ سبب ان عالمي ٽيسٽ چيمپيئن شپ جي فائنل لاءِ ڪواليفائي ڪري ورتو آهي،
Politics,ملڪ رياض ۽ ثاقب نثار خلاف جاچ ڇو نه ٿي ٿئي!
Crime,پنگريو-ڦانٽ فارم روڊ مڪمل طور بند رهيو. هوڏانهن ليل برادري جي نيڪ مرد فيض محمد ليل صحافين سان ڳالهائيندي چيو ته سمان ڌر جي ماڻهن اسان جي گهرن تي ڪاهه ڪري ڳڀرو نوجوان قتل ڪري وڏو ظلم ڪيو آهي. هن ايس ايس پي ٿرپارڪر کان گهر ڪئي ته نوٽيس وٺي ڪيس داخل ڪري جوابدارن کي گرفتار ڪيو وڃي
Crime,جعلساز اميدوارن ۾ وقاص، اختر علي، اڪبر، نعيم، نبيل، عشرت ۽ شهزاد شامل آهن.
Sports,جڏهن تھ فيٿ ٿامس 7 فرسٽ ڪلاس ميچ کيڏا، جن ۾ 106 رنسون ڪيون. فيٿ ٿامس زندگي ۾ 90 ورهين جي ڄمار ماڻي آهي.
Politics,وزيراعظم شهباز شريف جي سربراهي ۾ ٿيل حڪومتي اتحادي جماعتن جي اجلاس جي پڌرائي ۾ مطالبو ڪيو ويو ته سڄي ملڪ ۾ هڪ ئي ڏينهن چونڊون ٿيڻ گهرجن، اها اڻ ڌري، شفاف ۽ آزاد اليڪشن منعقد ڪرائڻ جي بنيادي دستوري گهرج آهي.
Sports,پاڪستان عالمي ڪپ کيڏڻ ڀارت ويندو يا نه ؟ نجم سيٺي واضح ڪري ڇڏيو
Crime,خان محمد مري جي زال ۽ ڌيءُ سان زيادتي جو انڪشاف
Politics,پرڏيهي خابرو اداري موجب بيجنگ جي پرڏيهي وزارت پنهنجي هڪ بيان ۾ ڪينيڊا جي جينيفر لين لالونڊي کي اڻوڻندڙ شخصيت قرار ڏيندي چيو اهي ته چين وڌيڪ ردعمل جو حق رکي ٿو.
Crime,پوليس جو چوڻ آهي ته هٿ ڪيل دوائون حياتي بچائيندڙ دوائون جي نقل هيون، جنهن سان وڏي جاني نقصان جو انديشو هو
Crime,ڪراچي جي پريڊي ٿاڻي جي حدن مان پرڏيهي شهري ڦرجي ويو
Politics,وزيراعظم عمران خان پنهنجي ٽوئيٽ ۾ چيو آهي ته 10 سالن جي قانوني جهيڙي کان پوءِ آخرڪار ريڪوڊڪ کاڻ جي تعمير لاءِ بيرڪ گولڊ سان ڪامياب معاهدي تي بلوچستان جي عوام کي مبارڪباد پيش ڪريان ٿو
Sports,ريحان الحق بنيادي طور تي مڪي آرٿر جي چيف آف اسٽاف طور ڪم ڪندو.
Crime,لاڙڪاڻي جي مختلف علائقن ۾ پوليس ڪارروايون، اسٽريٽ ڪرائم جي مختلف وارداتن ۾ ملوث 6 جوابدار گرفتار.
Politics,سپريم ڪورٽ جي روايت ناهي، هن وقت اعتماد جي کوٽ آهي، اعتماد ۽ اتحاد بحال ڪرڻو آهي ته فل ڪورٽ جوڙيو وڃي.
Crime,سلمان خان کي لارنس بشنوئي گينگ طرفان موت جون ڪيتريون ئي ڌمڪيون مليون آهن ۽ ممبئي پوليس اداڪار کي سيڪيورٽي فراهم ڪئي
