Aspect Category,News Headlines
Crime,ڦرن، اغوائن، ڌاڙن جا ڏينهن ختم ٿي ويا: آءِ جي سنڌ
Politics,”هاڻي لياقت علي خان ۽ بينظير قتل ڪيس جون ڪهاڻيون سامهون اينديون“
Sports,ميڊيا مطابق احمد آباد ٽيسٽ جي چوٿين ڏينهن جي راند ۾ ويرات ڪوهلي 15 چوڪن جي مدد سان 186 رنسن جي شاندار اننگز کيڏي پنهنجو پاڻ ملهايو آهي، شبمن گل 128، اڪشر پٽيل 79، سرڪار ڀارت 44 رنسون ٺاهيون. انگلش بالرن ٽوڊ مرفي ۽ ناٿن ليان 3،3 شڪار ڪيا، راند ختم ٿيڻ وقت آسٽريليا بنا نقصان جي 3 رنسون ٺاهيون هيون.
Crime,پهرين هن عدالت جي وارنٽ وصول ڪرڻ کان انڪار ڪيو، پوليس گرفتاري لاءِ زمان پارڪ وئي ته هٿيارن سان ليس ڪارڪنن پوليس ۽ قانون لاڳو ڪندڙ ادارن تي حملا ڪيا، لاهور ۾ بدامني پکيڙي وئي، ماڻهن جي جان ۽ مال کي نقصان پهچايو ويو.
Politics,جتي هن پنهنجي بيان ۾ چيو ته عمران خان پهرين جنوري 2018ع تي مون سان فون تي رابطو ڪيو، عمران خان سان سٺا لاڳاپا هئا
Politics,اسلام آباد ۾ پريس ڪانفرنس ڪندي مريم اورنگزيب چيو ته ملڪ جون حالتون ڪجهه بهتر ٿينديون آهن ته عمران خان نئين تماشي جو اعلان ڪري ڇڏيندو آهي.
Crime,طرابلس (ويب ڊيسڪ) لبيا ۾ هڪ گينگ ريپ جو شڪار عورت جي رڙين سڄي ملڪ ۾ ٿرٿلو مچائي ڇڏيو آهي
Crime,کپرو: کپرو لڳ سانگھڙ روڊ تي بٺو واٽر اسٽاپ تي تيز رفتار ٻن موٽرسائيڪلن ۾ ٽڪر ٿي پيو، جنهن سبب 2 نوجوان احمد رند ۽ ڳوٺ ڪسي هنڱورا واسي نوجوان محرم پٽ باغ مڱڻهار مرڻينگ ٿي پيا، جن کي رهواسين کڻائي تعلقي اسپتال آندو، جتي نوجوان محرم ولد باغ مڱڻھار زخمن جا سور نه سھندي فوت ٿي ويو
Politics,ڀارتي ميڊيا موجب هندو انتها پسندن جي احتجاج سبب باغ جو نالو تبديل ڪرڻ جو حڪم ڏنو ويو.
Politics,پرويز الاهي جي گرفتاري لاءِ پوليس آپريشن تي چوڌري شجاعت جو موقف سامهون اچي ويو
Politics,کڻي ايم اين ايز يا ايم پي ايز هجن ڪنهن جي دٻاءَ ۾ نه اچو: سنڌ هاءِ ڪورٽ
Politics,جيل ڀريو تحريڪ شروع ڪيو اهڙو جواب ڏينداسين جو سوچي به نٿا سگهو: راڻا ثناءُ الله ا
Crime,ياد رهي ته گهرن کي باهه لڳڻ سبب پورهيت اڪرم کوکر سڙي زخمي ٿي پيو هو، جنهن کي حيدرآباد جي اسپتال ۾ داخل ڪرايو ويو، جيڪو گذريل ڏينهن علاج دوران اسپتال ۾ فوت ٿي ويو، ضروري ڪارروائي بعد فوتي جو لاش وارثن حوالي ڪيو ويو.
Sports,ذريعن موجب، پي سي بي ٽي مُلڪي سيريز هوم گرائونڊ تي ڪرائڻ جو ارادو رکي ٿي ۽ بورڊ ان لاءِ مختلف بورڊن رابطا شروع ڪري ڇڏيا آهن، جڏهن ته گڏوگڏ بورڊ طرفان ڪجهه ٽيمن جي مصروفيت جو جائزو پڻ ورتو پيو وڃي.
Politics,چيف جسٽس چيو ته سيشن ڪورٽ يقينن توهان جي پيشي تي سيڪيورٽي کي نظر ۾ رکندي، انڊر ٽيڪنگ جو مطلب عدالت سامهون بيان آهي، جيڪڏهن ڀڃڪڙي ٿي ته توهين عدالت ٿيندي.
Sports,ميامي اوپن ۾ ٽيلي ٽائونسينڊر ۽ ليلا ايني فرنانڊز پنهنجا پنهنجا ميچ کٽي ورتا
Politics,شهيد ذوالفقار ڀٽو اڄ به عوام جي دلين تي راڄ ڪري ٿو:سسئي پليجو
Politics,اسلام آباد هاءِ ڪورٽ ۾ تحريڪ انصاف چيئرمين عمران خان جي هڪ سئو کان وڌيڪ ڪيسز ۾ گرفتاري روڪڻ بابت درخواست جي ٻڌڻي ٿي.
Crime,لاڙڪاڻي ۾ چوري جو واقعو، جوابدار دڪاندار کان 10 لک رپيا ڦر ڪري فرار.
Politics,اسلام آباد :وزيراعظم شهباز شريف غيرتمند بلوچن کي بلوچي ثقافت جي ڏينهن تي مبارڪباد ڏيندي چيو آهي ته پاڪستان جي خوبصورتي بلوچ تهذيب ۽ تمدن جي رنگن ۽ پاڪستان جي تاريخ، بهادر بلوچن جي قربانين کانسواءِ ناممڪن آهي
Sports,سُپر اسٽار فاسٽ بالر شاهين شاهه جي فٽنس بابت اهم خبر اچي وئي
Politics,روس ۾ جاسوسي جي الزام ۾ امريڪي صحافي کي گرفتار ڪيو ويو آھي، جڏھن تھ امريڪا معاملي تي ڳڻتي جو اظھار ڪيو آھي.
Sports,حسنين ٽيسٽ ٽيم ۾ کيڏڻ جو حقدار آهي، رئوف کي وائيٽ بال ڪرڪيٽ لاءِ بچائي رکو: شاهد آفريدي
Politics,هن چيو ته ڪڏهن ناهي ٿيو ته پارليامينٽ ڪو قانون ٺاهي ۽ عدليا ان تي منع نامو جاري ڪري ڇڏي
Politics,وائيس چيئرمين جي سيٽ تي به آزاد اميدوار عبدالمطلب کوسو ڪاميابي ماڻي
Sports,آءِ سي سي ٽيسٽ ٽيم آف دي ايئر جو اعلان ڪري ڇڏيو
Politics,72 ڪلاڪن ۾ سنڌ مان وڏي استعيفيٰ اچڻ جو امڪان
Crime,ڳڙهي خيرو ۾ غيرت جي نالي تي هڪ ڄڻو قتل.
Politics,آمريڪي فورسز جو صوماليا ۾ آپريشن، داعش جي سينيئر ڪمانڊر سميت ڏهه ڄڻا مارجي ويا
Crime,بلديه اتحاد ٽائون ۾ فائرنگ، هڪ ڄڻو مارجي ويو، هڪ زخمي، پوليس.
Politics,ڀارتي رياست مڌيا پرديش جي گهرو وزير نروتم مشرا به ڪپڙن جي رنگن تي ڪاوڙ جو اظهار ڪندي دپيڪا پڊوڪون ۽ شاهه رخ خان کي فلم ”پٺاڻ“ جي گاني ”بي شرم رنگ“ ۾ لباس پهريل نظر آيا ۽ مطالبو ڪيو.
Politics,جسٽس مظاهر ۽ پرويز الاهي جي آڊيو ليڪ وارو مامرو، وڌيڪ نوان انڪشاف سامهون اچي ويا
Politics,ان حوالي سان مسلم ليگ (ن) ۽ اتحادي پارٽين جو به ٿورائتو آهيان، انهن پارٽين پنهنجي سياسي ساک جي پرواهه بنا پاڪستان لاءِ سوچيو.
Politics,پنجاب جي وڏي وزير پرويز الاهي ۽ سندس ڪابينا کي هٽائڻ جو نوٽيفڪيشن ڪالعدم قرار
Politics,آرمي چيف جي آمد تي گوجرانوالا ڪور جي ڪمانڊر سندس آجيان ڪئي.
Sports,عراق: فٽبال اسٽيڊيم ويجهو ڌماڪو، رانديگرن سوڌو ڏهه ڄڻا اجل جو شڪار
Crime,مورو سب جيل ۾ ڊيوٽي تي موجود پوليس اهلڪار وڏي منشي خلاف پريس ڪلب پهچي ويو.
Crime,سنجهورو بائي پاس تي پوليس جي ڪارروائي، هڪ جوابدار زخمي حالت ۾ گرفتار.
Politics,ايمان مزاري چيو ته هن وقت خانصاحب کي رڳو پنهنجي ۽ پنهنجي زال جي ڳڻتي آهي
Sports,افغانستان پهريون ڀيرو ٽي 20 ۾ پاڪستان کي هارائي ڇڏيو
Crime,هوڏانهن لاڙڪاڻو اسپتال ۾ زخمين کي کڻائي آيل خالد حسين ڊومڪي ميڊيا کي ٻڌايو ته اسان جو ڌڻي بخش ڊومڪي وارن سان پراڻو سڱاوتي تڪرار هلندڙ هو پر سال 2019ع دوران سردار منظور خان پنهور جي سرپئنچي ۾ تڪرار جو نبيرو ڪيو ويو.
Politics,مڪاني چونڊون: مختلف پولنگ اسٽيشنز تي ڏند چڪ ۽ جهيڙن جا واقعا
Crime,چيلهار: چيلهار ڀرسان ڳوٺ هرپار جي رهواسڻ گڏي ڪولهي وڊيو بيان جاري ڪندي تحفظ جو مطالبو ڪيو آهي.
Politics,9 مئي واقعن جي سموري رٿا بندي زمان پارڪ ۾ ڪئي وئي آهي، مريم اونگزيب
Politics,سِک مخالف تقرير ڪندڙ شو سينا اڳواڻ فائرنگ ۾ مارجي ويو
Sports,هوڏانهن 132 رنسن جي هدف ماڻڻ لا کيڏندي ممبئي انڊينز 3 وڪيٽن تي 134 رنسون ٺاهي ٽرافي کٽي ورتي، جنهن ۾ نيٽ سائيور برنٽ 60، ڪپتان هرمنپريت ڪور 37 رنسن سان نمايان رهيون.
Sports,هن چيو تھ مان چاهيان ٿو تھ ايشيا ڪپ ۽ ورلڊ ڪپ ۾ پاڪستان ۽ ڀارت جون ميچون ٿين.
Politics,افغانستان ۾ ڊيوٽي ڪندڙ آمريڪي فوجي تي فرد جرم لاڳو
Politics,چيف جسٽس چيو ته ” انهن “ طرفان اوهان جي خلاف ڪيترائي ڪيس داخل ڪيا ويا آهن، اوهان کي ڄاڻ آهي ته مان ڪنهن بابت ڳالهائي رهيو آهيان.
Politics,عمران نيازي مُلڪ ۾ انارڪي ڦهلائڻ وارو ايجنٽ آهي: وزيراعظم
Crime,پنهنجون ليڪ وڊيوز اڳتي موڪليندڙن کي ڪعبت الله وڃي پِٽيو هو: رابي پيرزادا
Politics,ڪانفرنس ۾ شرڪت ڪندڙن ان عزم جو به اظهار ڪيو ته فوج پاڪستان عوام جي ڀرپور حمايت سان پاڪستان جي دشمن جي اهڙن سمورن منصوبن کي ناڪام بنائيندي.
Politics,پي ٽي آء جي اميدوار کي 108 ٻئين نمبر تي پوزيشن برقرار آھي
Politics,مفروضن تي ٻڌل رپورٽ نه هئڻ گهرجي: اڪبر لغاري
Politics,ميان نواز شريف جو روز ٽرائل ٿيندو هو، ڪاش عدليا نواز شريف کي به چئي ها ته توهان کي ڏسي سٺو لڳو پر هي ٻٽو معيار آهي، جنهن انصاف جو جنازي ڪڍي ڇڏيو.
Politics,افغانستان سان لاڳاپا خراب ڪيا ويا ته مُلڪ دهشتگردي جي باهه ۾ سڙي ويندو: عمران خان
Politics,عدالت پوليس طرفان زمان پارڪ وڃي جاچ مڪمل ڪرڻ جي درخواست تي شنوائي ڪئي، ان دوران عدالت رمارڪس ڏنا ته پوليس قانون موجب جاچ ڪري سگهي ٿي
Sports,خوفناڪ روڊ حادثي ۾ زخمي ٿيل ڀارتي ڪرڪيٽر رشڀ پنت جي صحت بابت اهم خبر اچي وئي
Sports,پي سي بي اختيارين نيوزيلينڊ خلاف سيريز لاءِ ڪپتان بابراعظم سان بھ مشاورت مڪمل ڪري ورتي آهي، امڪان آهي تھ هڪ ٻن ڏينهن ۾ اسڪواڊ جو اعلان ڪيو ويندو.
Crime,يونيورسٽي جي ملازم اعجاز ميتلو جي فرياد تي 12 شاگردن تي ڪيس داخل ڪيو ويو
Politics,اڳواڻن جو چوڻ هو ته 31 مارچ 1972ع تي سائين جي ايم سيد پنهنجي سياسي تجربن جي آڌار تي سنڌ جي قومي، تاريخي، جاگرافيائي، ثقافتي ۽ اقتصادي ڦرلٽ ۽ جبري الحاق مان پنهنجي قومي آزادي ۽ شناخت کي بحال ڪرڻ لاءِ سنڌ جو مڪمل ۽ جامع پروگرام پيش ڪيو.
Crime,حيدر آباد پوليس پاران به ٽن مبينا مقابلن ۾ هڪ ڏوهاريءَ کي مارڻ ۽ ٻن کي گرفتار ڪرڻ جي دعويٰ،
Politics,وفاقي گهرو وزير راڻا ثناءُ الله چيو آهي ته مان عمران خان کي خبردار ڪرڻ چاهيان ٿو ته سندس خلاف پرڏيهي ايجنسيون ڪارروائي ڪري سگهن ٿيون، آصف زرداري تي قتل جي سازش عمران خان جي پروپئگنڊا آهي، هي ڪوڙو ماڻهو آهي ۽ سدائين الزام هڻندو رهيو آهي.
Sports,رڪارڊن مٿان رڪارڊ، بابر، مصباح الحق کان اهم اعزاز کسي ورتو
Politics,ڀلي سئو ايٽم بم ٺاهيو پر فوج جي بجيٽ گهٽايو: فيصل ايڌي
Politics,اڳوڻي وزيراعظم عمران خان تي تنقيد ڪندي هن چيو ته توهان ڪيترو به شور ۽ هڙتال ڪريو، پاڪستاني عوام ڄاڻي ٿي ته توهان جو مقصد ملڪ ۾ انتشار پکيڙڻ آهي
Politics,ملڪ ۾ سياسي ۽ معاشي بحران، آمريڪا ۽ اولهه ملڪن جي ايجنڊا ! ناڪام ڪرڻ جو عزم
Politics,جواب ۾ سردار مظفر چيو ته اسان گهرو وزارت کي چيو هو ته وارنٽ تي عمل ڪرايو.
Politics,” ڪير به پنجاب اسيمبلي اچڻ کان روڪي نٿو سگهي، صوبي ۾ گورنر راڄ لڳائڻ جو آپشن به موجود آهي“
Sports,حيدرآباد: حيدرآباد ۾ گورنمينٽ بوائز لوئر سيڪندڙي اسڪول رئيس غلام محمد ڀرڳڙي جي هيڊماستر پريم چند پاران منعقد ڪرايل ٽيپ بال ڪرڪيٽ ٽورنامينٽ ۾ گورنمينٽ بوائز لوئر سيڪنڊري اسڪول اردو حالي روڊ ۽ گورنمينٽ بوائز لوئر سيڪندڙي اسڪول رئيس غلام محمد ڀرڳڙي ۾ ڪرڪيٽ ٽيمن ۾ خان گرائونڊ ۾ ڪرڪيٽ ميچ ٿيو، جنهن ۾ سيڪنڊري اسڪول اردو جي ٽيم مقرر 10 اوورن ۾ 110 رنسون ٺاهيون، جواب ۾ رئيس غلام محمد ڀرڳڙي جي ٽيم 9 اوورن ۾ ٽارگيٽ مڪمل ڪيو.
Sports,ٽرافي انگلينڊ ۽ پاڪستان دليون کٽي ورتيون: برطانوي هاءِ ڪمشنر
Politics,فوج ملڪ لاءِ جانين جون قربانيون ڏنيون آهن، پاڪ فوج جا ته سڀني کي ٿورا مڃڻ گهرجن. 
Crime,ڪي پي او حملو: وڌيڪ هڪ زخمي پوليس اهلڪار دم ڏئي ڇڏيو، شهيدن جو انگ پنج ٿي ويو
Politics,شي جن پنگ ٽيون ڀيرو چين جو صدر چونڊجي ويو
Crime,وارثن جو چوڻ آھي ته نوجوان جو دماغي توازن درست نه هو، هن گهر اندر پاڻي جي ٽانڪي ۾ ٽپو ڏئي خودڪشي ڪئي آھي، وڌيڪ جاچ ڪري رهيا آهيون، جلد اصل حقيقت سامهون اچي ويندي.
Politics,پ پ چيئرمين چيو ته عمران خان طرفان پنهنجي اي ٽي ايمز ۽ امير طبقن کي نوازڻ واري پاليسين جا نتيجا هاڻي ملڪ ۽ عوام ڀوڳي رهيو آهي.
Sports,عدنان صديقي ميسي لاءِ وڏي انعام جو اعلان ڪري ڇڏيو
Sports,سليم ملڪ بابراعظم جي ڪپتان طور حمايت ڪري ڇڏي
Sports,ميڊيا مطابق پاڪستان ۾ 5 ون ڊي ۽ 5 ٽي 20 ميچن واري سيريز کيڏڻ لاءِ ڪيوي رانديگر ڪرائيسٽ چرچ مان روانا ٿيا آهن، جيڪي مهمان رانديگر هڪ ڏينهن آرام ڪندا.
Politics,وزيراعظم آفيس جي ميڊيا سيل مان جاري ڪيل پڌرائي مطابق وزيراعظم زلزلي متاثرن سان ڳالهائيندي چيو ته پاڪستاني اوهان جا ڀينر ۽ ڀائر آهن، پاڪستان اوهان کي هن ڏکئي وقت ۾ اڪيلو نه ڇڏيندو.
Sports,هوڏانهن پي سي بي اختيارين، ايشيا ڪپ ٻئي وينيو تي ڪرائڻ کان انڪار ڪندي چيو آهي ته جيڪڏهن ايشيا ڪپ پاڪستان کانسواءِ ٻئي هنڌ ٿيو ته هو ميگا ايونٽ جو بائيڪاٽ ڪندا.
Politics,هڪ اسيمبلي جي شيڊيول دوران ٻي اسيمبلي ٽوڙي وڃي ته هڪ ڏينهن چونڊ ڪرائڻ لاءِ عدالت سان رابطو ڪري سگهجي ٿو؛
Sports,جنهن تحت امام الحق جي جڳهه تي شان مسعود، عبدالله شفيق جي افتخار احمد، نائب ڪپتان شاداب جي بدران محمد حارث کي کنيو ويو آهي ۽ محمد نواز کي انجري سبب آئوٽ ڪيو ويو آهي.
Sports,واضح رهي ته پاڪستان ۽ افغانستان وچ ۾ ٽي ٽوئنٽي ميچون 24، 26 ۽ 27 مارچ تي شارجه ۾ کيڏيون وينديون.
Sports,معاوضي ۾ واڌ، ڪيئي رانديگرن جا ڪيريئر داءُ تي لڳي چڪا آهن
Politics,نٿا چاهيون ته پاڪ-ڀارت ڇڪتاڻ سبب سرحدن جي ٻنهي پاسي لاش ڪرن: حنا رباني کر
Sports,آمريڪا جي مشهور گالفر ٽائيگر ووڊ جي ڊگهي عرصي تائين راند کان پري ٿيڻ جو خدشو
Politics,شرافت سان سياست ڪرڻ چاهيون ٿا پر آئين ٽوڙڻ تي شريف نه رهنداسين: بلاول ڀٽو
Politics,ڀارتي وزيراعظم شاگرد جي سوال کي نصاب کان ٻاهر قرار ڏئي ڇڏيو
Crime,عورتن جي جسم جا حصا هٿ اچڻ جا 2 ڌار ڌار واقعا
Crime,ڪوٽ سبزل ۾ پوليس ڪارروائي، يرغمال بڻيل 2 جوابدارن کي بازياب ڪرائي گھوٽڪي منتقل ڪرڻ جي ڪوشش ڪئي.
Crime,ٻئي پاسي پوليس گشت دوران اي ايس آئي اسلم مهيسر چيڪنگ ڪندي ھشو ڪولهي کي 100 مين پڙين سميت گرفتار ڪري ڪيس داخل ڪيو.
Politics,ياد رهي ته اسرائيل جي ناڻي واري وزير فلسطيني ڳوٺ هاوارا کي زمين تان صفا ڪرڻ جي ڌمڪي ڏني هئي.
Sports,سينيئر رانديگرن کي نيڪالي، پانڊيا ٽي ٽوئنٽي ٽيم جو ڪپتان مقرر
Politics,آڊيو ليڪ جي ڳالهه ٻولهه سنگين آهي، عدالتن کي سياسي معاملن ۾ مداخلت نه ڪرڻ گهرجي: اعظم نذير
Crime,متاثر شخص جي رپورٽ تي پوليس عورت خلاف ڪيس داخل ڪري ورتو آهي ۽ سي سي ٽي وي فوٽيج جي مدد سان ان کي گرفتار ڪرڻ جي ڪوشش ڪئي پئي وڃي.
Politics,سياسي ايم ايس خلاف ڪارروائي ” ديواني جو خواب“
Politics,ڇا ٿي رهيو آهي اڄ اوهان هي ڪري رهيا آهيو سڀاڻي اوهان ملڪ لاءِ ڇا ڪندا
Politics,شهيد بينظير ڀٽو مون کي ڀاءُ سڏيندي هئي: ڪامران ٽيسوري
Sports,ياد رهي ته ٽي ٽي ٽوئنٽي انٽرنيشنل ۾ سڀ کان وڌيڪ مهانگو اوور اسٽورٽ براڊ هلايو هو، کيس ڀارتي بيٽر يوراج سنگهه 2007ع واري عالمي ڪپ ۾ هڪ اوور ۾ ڇهه ڇڪا هنيا هئا،
Sports,ايشين ڪپ جي ٽورنامينٽ ۾ اومان ٽين ۽ يو اي اي جي ٽيم چوٿين پوزيشن حاصل ڪري ورتي آهي
Crime,مارڻ واري کان بچائڻ وارو وڏو، ٽارگيٽ ڪلر جو پسٽل نه هليو: وڊيو ڏسو
Politics,عمران خان جي گرفتاري: شرجيل ميمڻ خطري جي گهنٽي وڄائي ڇڏي
Sports,ليجنڊز ليگ ۾ انڊيا مهاراجا کي ورلڊ جائنٽس 3 وڪيٽن تان شڪست ڏئي ڇڏي
Sports,پاڪستان جي مشهور جابل چاڙهو ساجد سدپارا دنيا جي 10هين بلند ترين چوٽي بنا آڪسيجن جي فتح ڪري ورتي آهي.
Politics,هيلري ڪلنٽن خلاف ڪيس داخل ڪرڻ سبب ٽرمپ تي لکين ڊالر ڏنڊ
Politics,برطانوي فلمن جي پروڊيوسر ۽ لکاري جمائما گولڊ سمٿ برطانيا جي موٽر وي ايم 25 تي گذرندڙ هڪ ٽرڪ جي پويان اڳوڻي مڙس عمران خان جي لڳايل تصوير شيئر ڪري ورتي آهي
Politics,ڌارين کي سنڌ جو ڊوميسائل ٺاهڻ قانوني قرار ڏيڻ وارو بل رد ٿيڻ گهرجي: سوشل ميڊيا
Crime,ٽنڊو مستي ۾ فائرنگ، نوجوان مارجي ويو.
Politics,آءِ جي پوليس کي هدايت ڪئي ته منصوبي کي جلد کان جلد شروع ڪيو وڃي.
Sports,هوڏانهن اڄوڪي ميچ جي حوالي سان ٻنهي ٽيمن جي ڪپتان ڪاميابي جو عزم ڪيو آهي
Politics,هن وڌيڪ چيو ته جيڪڏهن ڪو جوابدار عدالت ۾ اچي ٿو ته ان کي گڊ ٽو سي يو چوڻ ٺيڪ آهي؟
Crime,ڪراچي ۾ راشن ورهائڻ دوران ڀاڄ،عورتن ۽ ٻارن سميت 11 ڄڻا فوت
Sports,ڀارتي ريسلرز کي قازقستان ۾ سرنجون نڪرڻ روڪيو ويو
Politics,عمرڪوٽ جي 42 يوسيز جي ميمبرن کان قسم کڻايو ويو
Politics,هندو انتهاپسندن جو دٻاءُ، ٽيپو سلطان باغ جو نالو بدلائڻ جو حڪم
Sports,بابراعظم روهت شرما جو رڪارڊ ٽوڙڻ جي ويجهو پهچي ويو
Sports,ان موقعي تي ٽيم جي ٻين رانديگرن به بابر اعظم ۽ سندس خاص جرسي سان گڏ تصويرون ڪڍرايون.
Politics,”هاڻي سوال ڪندڙ اينڪرن جون به گرفتاريون شروع ٿينديون“
Crime,گمبٽ لنڪ روڊ تي پوليس مقابلو، هڪ جوابدار زخمي حالت ۾ گرفتار، 2 فرار
Sports,آفريدي جو اچڻ سان ڌماڪو، ڏاهاڻي، مير حمزا ۽ ساجد خان ٽيسٽ اسڪواڊ ۾ شامل
Crime,حيدرآباد ۾ سائيٽ ايريا ۾ فائرنگ، هڪ ڄڻو مارجي ويو.
Politics,هڪ وڊيو ۾ ڏسي سگهجي ٿوته مڇريل ماڻهو گيٽ نمبر هڪ ٻاهران ڀڃ ڊاهه ڪري رهيا آهن ۽ زبردستي در کولي اندر داخل ٿي رهيا آهن.
Politics,ڪٿي ناهي لکيل ته چونڊن جي تاريخ ڪميشن ڏيندو:اليڪشن ڪميشن
Sports,چيڪ ٽينس اسٽار پيٽرا ميامي اوپن جي چيمپيئن بڻجي وئي
Crime,جهنڊو مري ۾ مبينا مقابلو، 30 ڪيسن ۾ گهربل ڏوهاري مارجي ويو
Politics,اڳواڻن پاران اتفاق ڪيو ويو تھ موجودھ سياسي بحران مان نڪرڻ جو واحي رستو پاڪستان جو گڏيل آئين ۽ جمھوري نظام آھي.
Sports,هوڏانهن رپورٽ ۾ چيو ويو آهي تھ ايلانا ريباڪنا ۽ ڪارلوس الڪراز اهم ٽائيٽل کٽي دنيا جي نمبر ون ٽينس اسٽار جو اعزاز ماڻيو آهي.
Crime,بدامني، سنڌ پوليس شهرين کي خبردار ڪري ڇڏيو، اهم هدايتون جاري
Politics,عمران خان جا گرفتاري وارنٽ برقرار، پوليس تي حملو رياست تي حملو آهي: اسلام آباد هائيڪورٽ
Crime,ڀارتي ميڊيا موجب وڪاس مالونالي هڪ بزنس مين جي ٻي گهرواري سانوي مالو دهلي پوليس ڪمشنر ڏانهن خط لکيو آهي جنهن ۾ عورت پنهنجي ئي مڙس تي اداڪار جي قتل جو الزام مڙهيو آهي.
Sports,جنهن ۾ شاهزيب خان 3 ڇڪن ۽ 14 چوڪن جي مدد سان 105 رنسن جي شاندار اننگز کيڏي ٽيم کي فتح ڏياري ورتي، اذان اويس 52، سعد بيگ 29 رنسون ڪيون.
Politics,وزيراعظم منصوبي کي عوام جي استعمال لاءِ جلد کان جلد مڪمل ڪرڻ جي هدايت پڻ ڪئي
Crime,خبر موجب پريالوءِ ٿاڻي جي حد ڳاڙھي موري ڀرسان ڳوٺ ڏونگر خان ڏونگراڻي ۾ پلاٽ جي معاملي تان ٻن ڌرين ۾ تڪرار تان ھڪ ڌر جمعي نماز تان واپس ايندڙن تي فائرنگ ڪري ڏني، جنھن سبب ٻن ڀائرن سميت 3 ڄڻا قتل ٿي ويا، قتل ٿيلن ۾ 17 ورھين جو رحمت الله ڏونگراڻي، 28 ورھين جو رابيل پٽ وريل ۽ 17 ورھين جو حيدر پٽ مير حسن ڏونگراڻي شامل آهن، جڏهن ته عبدالقدير، علي حسن، عثمان زخمي ٿي پيا. اطلاع تي پوليس پهچي لاش تحويل ۾ ورتا.
Politics,عدالتون حڪم ڏين عمران خان کي گرفتار ڪنداسين: گهرو وزير
Crime,ٽڪ ٽاڪ لائيو اسٽريم دوران زال کي چماٽ هڻندڙ شخص کي سخت سزا
Sports,جڏهن تھ اوپنر شيڊ باويس، ٽم بلينڊل سميت ٽام ليٿم ۽ ڊيرل مچل سنگل ڊجٽ ۾ آئوٽ واپس هليا ويا هئا.
Crime,2 مهينا اڳ بيدردي سان قتل ٿيل جوابدار گرفتار نه ٿي سگهيو، جوابدارن جو چوڻ آهي ته چنيسر خاصخيلي جي رهواسي علي عباس کي قتل ڪرڻ جو الزام ڇو لڳايو ويو، آءِ جي سنڌ نوٽيس وٺي جوابدارن خلاف سخت ڪارروائي جو مطالبو.
Crime,آمريڪا: ڪار ۾ جوابدارن جي انڌاڌنڌ فائرنگ، 10 ڄڻا زخمي
Sports,انگلينڊ جي ٽيسٽ ٽيم جي هيڊ ڪوچ برينڊن ميڪلم خلاف ڀارتي سٽيباز جي مشهوري ڪرڻ واري معاملي جي جاچ شروع ٿي وئي آهي
Politics,هن چيو ته پنجاب حڪومت وڳوڙن خلاف پوليس جي ٻڌل هٿن کي کولي ڇڏيو آهي، هاڻي ڪنهن رياست جي رٽ کي چئلينج ڪيو ته ياد رکي فواد چوڌري کان وڌيڪ تيز ڊوڙڻو پوندو.
Sports,الله کانپوءِ پاڻ تي يقين هو ته ڪري سگهان ٿو: نسيم شاهه
Sports,اٽالين اوپن ۾ وڪٽوريا هٿان آمريڪي رانديگرياڻي کي شڪست
Sports,افغان ٽيم جي ڪپتان استعيفيٰ ڏئي ڇڏي
Sports,لکنئو ۾ ڀارتي بيٽر ويرات ڪوهلي ۽ افغان بالر نوين الحق وچ ۾ميچ دوران لفظي جنگ شروع ٿي، پر ايمپائرن ۽ ساٿي رانديگر ۾ وچ ۾ اچي ويا معاملي گهڻو بگڙڻ نه ڏنو.
Politics,ترڪ ميڊيا موجب، صدارتي چونڊن ۾ ترڪ صدر طيب اردوان ۽ مخالف ڌر اڳواڻ ڪمال قليچ داراوغلو وچ ۾ سخت مقابلي جو امڪان آهي.
Sports,مارڪ ووڊ کي پاڪستان ۾ مزو اچي ويو، ٻين ٽيمن کي به دوري جي صلاح
Sports,” مان واندو ناهيان“ پيٽ ڪمنز پاران آءِ پي ايل نه کيڏڻ جو فيصلو
Crime,ملير سپر هاءِ وي تي پوليس مقابلو، 4 جوابدار زخمي حالت ۾ گرفتار.
Politics,عمران خان تي حملو، پاڪستاني ڪرڪيٽرن پاران مذمت” الله جو واسطو اٿوَ، هاڻ بُري خبر ٻڌڻ جي سگهه ناهي…
Crime,حيدرآباد ۾ پوليس مقابلو، هڪ جوابدار زخمي حالت ۾ گرفتار.
Crime,ڪنڊيارو: ڪنڊيارو ڀرسان ڳوٺ ساجن مڱريو ۾ معمولي ڳالهه تان ٻن ڌرين ۾ جهيڙو ٿي پيو.
Politics,هن چيو ته اسان کي عدليه ۾ تقسيم تي ڏک ٿئي ٿو، پاڪستان پيپلز پارٽي عدليه جي آزادي تي يقين رکي ٿي، اسان ڪڏهن به عدالت سان ناهيون وڙهيا ۽ نه ئي عدالتن خلاف سازشون ڪيون آھن
Politics,پ پ جو وقار مهدي سنڌ مان بنا مقابلي سينيٽر چونڊجي ويو
Politics,سمجهه ۾ نٿو اچي ته اپوزيشن اليڪٽرانڪ ووٽنگ مشين کان ڇو ٿي ڊڄي
