Cleaned_Tweet,Class
اج بهت سے لوگو کو طاهر القادری کا فیصله سمج نهی ایا کل پهر انهی لوگو کا کهنا هو گا طاهر القادری ڻهیک کهتے تهے,P
کراچی ہم نے پہلے پاکستان بنایا اور پھر پاکستان ہجرت کی خواجہ اظہار الحسن,P
کاجو ذیابطیس کے مریضوں کے لئے انتہائی مفید ہے,P
لاہور ایبولا وائرس سے نمٹنے کے لئے پنجاب میں تیاریاں شروع,P
لاہور دھرنوں کے باعث سیاسی عدم استحکام تھا اب معاملہ سنبھل گیا ہے میاں مجتبی,P
ﺗﺤﺮﯾﮏ ﺍﻧﺼﺎﻑ ﺍﻭﺭ ﻋﻮﺍﻣﯽ ﺗﺤﺮﯾﮏ ﮐﯽ ﺳﻮﺷﻞ ﻣﯿﮉﯾﺎﻭﺍﺭ ﺩﻭﻧﻮﮞ ﮐﻮ ﮐﻤﺰﻭﺭ ﮐﺮ ﺩﮮ ﮔﯽ ﺩﺷﻤﻦ ﮐﻮ ﻣﻮﻗﻊﻣﺖ ﺩﯾﮟ ﺩﻭﻧﻮﮞ ﺗﺒﺪﯾﻠﯽ ﻭﺍﻟﮯ ﻣﺘﺤﺪ ﺭﮨﯿﮟ,N
جادو بهری آنکھوں والی سنو تم ایسے مجھے دیکھا نہ کرو,P
تمہارے پاؤں میں رکھ دی ہے شاعری اپنیکسی کو کون یوں اپنی کمائی دیتا ہے,P
آقا صلی اللہ علیہ و آلہ وسلم کے صحابہ صحبت کی وجہ سے ہی اتنے پختہ ایمان اور یقین والے تهے اور ان میں ان کے مرشد کا عکس تها,P
ہاں تم ویسے ہی پراسرار ہے اور پراسرار ڈائنیں ہوتی ہیں,N
کتاب دستک انتساب میری زندگی ان رشتوں کے نام جو عجیب بھی ھیں اور غریب بھی جو محبت اور اذیت کا نایاب,P
میں منٹو سے شرمنده هوں آج دل چاہاکہ ترتیب ٹهیک کردوں مگر امرتا پریتم سب سے نچلی شیلف میں دیکه کر دو آنسو حلق میں اتارے,N
بالآخر تیری مصروفیت کے پیش نظریہ تہہ ہوا کے اب تجھے یاد نہ کیا جائے,P
جس عہد میں لٹ جائے ایدھی کا چندہاس دور کا حاکم ہے کوئ گنجا,N
لگتا ہے آسٹریلیا کی ٹیم بہت برا پرفارم کر رہی ہے ہماری حالت تو جوں کی توں ہے,N
کیا کوئی دوست پاکستان کے ٹیسٹ میچ کے بارے میں بتا سکتا هے ساتھ ٹائم لازم لکھنا,P
لعنت ہے ایسے نظام پر جس میں ٹیکسی چلانے کے لیے گریجوئیٹ ہونا ضروری ہے مگر ملک چلانے کے لیے یہ شرط پارلیامنٹ نے ختم کر دی ہے,N
محمد ﷺ نے فرمایا جسکا مفہوم ہے اگر میرے بعد کوئی نبی ہوتے تو وہ عمر ہوتے سیدنا عمر فاروق,P
ڈیزل ڈیزل کپتان ڈیزل,N
بریکنگ نیوز ٹویٹر پر زیادہ جلن کے بعد جیالے پٹواریوں کا غیر آئینی قبضہ رایوینڈ اور بلاول ہاؤس میں مٹھائیاں تقسیم,P
ٹھرکی سے یاد آیا کہاں ہے آجکل,N
رونا نہیں اے دل مضبوط ہوجا پھر اور کوئی تجھے توڑ نہ سکے زویہ,P
مرسو مرسو بھوکے مرسو مرو مرو بھوکے مرو,N
ایم کیوایم کا آزاد کشمیر حکومت سے علیحدگی کا اعلان اسکے ساتھ ہی حکومت سے اندر باہر ہونے کا عالمی ریکارڈ بھی بنا ڈالا سیاسی لطیفے,N
کینیڈا کی پارلیمنٹ میں فائرنگ کی ویڈیو جاری,N
سپریم کورٹ نے حلقہ پی پی تین سو بتیس بورے والا سے رکن پنجاب اسمبلی یوسف کیسال کی رکنیت بحال کر دی,P
منڈی بہاوالدین شیخ علی پور کے قریب نامعلوم نوجوان کی نعش برآمد,N
پوتن نے روس اور اسرائیل کے دوستانہ تعلقات میں نیتن یاہو کے بڑے کردار کو بے حد سراہا,P
قادری اور عمران کا دھرنا چٹخارے دار چاٹ مصالحہ مکس,N
لاہور عوام نے مینڈیٹ دیا ہے دھرنوں سے فرق نہیں پڑتا صوبائی وزیر قانون,P
ہمیں آج پتا چلا کہ اس لعنتی ابو لولو فیروز کا مزار بھی ہے ایران میں حیرت ہے,N
کوئی گیا تو اسے بھی شہید کردو طاہر القادری جی تو خکم کی تعمیل کب کی جائے,P
میں کب کا چکا ہوں ہوائیں مجھے نہ دو,N
ساے جتنی ھے ملکیت سب کی ⁰⁰باقی جو ھے تجاوزات میں ھے,P
ابھی چھوٹا بھائی صدمہ میں ہے جلد ہی کوئی نحوست بھرا فیصلہ کر ہی لے گا,N
کتے ہماری خواہشیں گلی میں پھر نے والے کتوں کی طرح ہیں کہ جن سے ڈر کر بھاگو تو پیچھے پڑ جاتے ہیں بھونک بھونک,N
سر جی بائیس توپوں کی سلامی ھے اس عقل پر جو اتنے تجربے ملکی نقصان عمر کے اس حصے کے بحدآگئی آپکے بقول قوم پر یہ احسان ھے,N
شرمندہ مت کیجیے جناب,N
جنوبی پنجاب کا سارا پیسہ صرف لاہور پہ لگتاہے تب کوئی پٹواری نئیں کہتا کہ واقعی انہیں حق دو گجرات یونیورسٹی کا دکھ ہے,P
میں س وت کے دھاگے کی طرح ٹوٹ گيا تھاوہ چرخہ گھمائے گی تو کچھ یاد کرے گی,N
کون ديکھے گا اب صليبوں پر صورتيں وہ پيمبروں جيسی ميری دنيا کے بادشاہوں کی عادتيں ہيں گداگروں جيسی,P
ہیں کیا ہاتھا پائی پر اتر آئے آپ لوگ ڈ,N
پاکستانی قوم جاگ گئی ھے کہ ڈیزل کی قیمتیں کیوں بڑھ گئی ہیں,N
پھر پٹواری پوچھتے ہیں کہ دھرنوں کا عوام کو کیا فائدہ پہنچ رہا ہے,P
میاں صاحب اس پیغام میں ہے ایک بار ضرور دیکھیں اور شئیر کرنے میں کنجوسی نہ کریں ویڈیو دیکھیں,N
کل سنا ھے جیو نیوز په عمران خان کا پرانا انٹرویو چلایا تھا کیا اب جیو معافی مانگنے والی ھے ویسے فائده بھی جیوکا اسی میں ھے,P
بات کہنی ہو کوئی وعدہ نبھانا ہواسے آواز دینی ہو اسے واپس بلانا ہوہمیشہ دیر کر دیتا ہوں میں مدد,N
بتاو کیسا لگتا ہے کسی ویران رستے پر کسی انجان رستے پر کسی کا ساتھ م ل جاناخوشی کے پھول ک ھل جانابتاو کیسا,N
موبائل پر کراچی کی فری نیوز حاصل کرنے کے لئے میسج میں ٹائپ کریں اور بھیج دیں پر بغیر کسی چارجز کے,P
بہت سے داغی آئے اور گئے لیکن کپتان اب بھی قوم کے ساتھ اسی جذبے سے کھڑاھے,P
ایبولا وائرس سے ہلاکتوں کی تعداد ہزار ہوگئی ڈبلیو ایچ او,N
جمعه مبارک دعا میں یاد رکھیں شکریه,P
ایک مشورہ ھے چندے سے انقلاب تو ممکن نہیں بنی گالا کا کنکشن شاید بحال ھوجائے یا پھر پختون ڈیزل ھی سے کام چلایے,N
لاہور ہائی کورٹ نے سماعت کے دوران اے آر واے نیو کے پروگرام کھرا سچ کو پروگرام بند کرنے اور میزبان مبشر لقمان پرپابندی عائد کرنے کا حکم دیا,N
زندگی اپنے لہو کا نام ہے زندگی ایک آرزو ے خام ہے زندگی حسرت بھری فریاد ہے زندگی گویا کسی یاد ہے سوزش درد جگر ہے,N
متروک مسترد کاسہ لیسوں کی کسی بھی مارچ کی حمایت کرنا تاریخی جرم ہوگا متروک مسترد کاسہ لیسوں کی کسی بھی مارچ ک,P
آج ملنگی بہت اداس ہے,N
بریکنگ کراچی ملزم سلیم کو پولیس گرفتارنہیں کرسکی پولیس ذرائع,N
ایم کیوایم کے قائد الطاف حسین کی تصنیف فلسفہ محبت کے انگریزی ترجمہ کی تقریب اجرا اکتوبر جمعہ کی شام میریٹ ہوٹل میں منعقد ہوگی,P
ﻭﺍﮦ ﮐﯿﺎ ﺑﺎﺕ ﮨﮯ,P
عوامی تحریک کا دھرنا ختم ہونے پر اسلام آباد میں عید کا سماں,P
آپ کو ہماری بدعا ہے آپ دنیا اور آخرت میں ذلیل و رسوا ہونگے,N
خان صاحب کے شرمناک اندازگفتگو کے بارے میں کیاکہیں گی شیریں صاحبہ,N
مجھے سیدنا عمر فاروق رضی اللہ عنہ سے محبت اس وجہ سے بھی ہے کہ میں نے دیکھا کہ آدھی دنیا کا حکمران سر کے نیچے اینٹ رکھے درخت کے سائے تلے سویاہے,P
الله اکبر مولانا جی کیا بات ھے,P
پانچ فیصد دیوبندی تکفیری اقلیت کی پچھتر فیصد سنی بریلوی صوفی اکثریت کے خلاف دہشت گردی کب تک فاروق چشتی,N
سرزمین شام وہ ولولے آج ابن قاسم کے کیا فسانوں میں کھوگے ھیں نبی ﷺ کی ام ت کے تن سے رستا ہوا یہ خون تم سے پوچھتا ہے,N
حسان ریاض جیت نہیں رہا حسان ریاض جیت گیا ہے مبارک ہو مبارک ہو مبارک ہو,P
کو جواب دینا چائے اب هر غریب کارکنوں کو جو اپنا سب لوٹا کہ سابت قدم رهے ظالموں سے زیادہ ظلم کیا هے بغیر مشورہ لیے دهرنا ختم کر کہ,N
ﻃﺎﺭﻕ ﺑﻦ ﺯﯾﺎﺩ ﺍﮔﺮ ﺁﺝ ﺯﻧﺪﮦ ﮨﻮﺗﮯ ﺗﻮ ﻋﻤﺮﺍﻥ ﺧﺎﻥ ﮐﻮ ﺍﺗﻨﺎﺿﺮﻭﺭ ﮐﮩﺘﮯ ﮐﮧ ﺑﯿﭩﺎ ﮐﺸﺘﯿﺎﮞ ﺟﻼﻧﮯ ﻣﯿﮟ ﺍﻭﺭﻟﮍﮐﯿﺎﮞﻧﭽﺎﻧﮯ ﻣﯿﮟ ﺑﮩﺖ ﺑﮍﺍ ﻓﺮﻕ ﮨﮯ,N
ﺟﻮ ﮐﮯ ﻟﻮﮒ ﮔﺎﻟﯽ ﮔﻠﻮﭺ ﮐﺮ ﺭﮨﮯ ﮨﯿﮟ ﺍﻥ ﮐﻮ ﺍﮔﺴﺖ ﮐﯽ ﺭﺍﺕ ﮐﻮ ﯾﺎﺩ ﺭﮐﻬﻨﺎ ﭼﺎﮨﯿﮯ ﺍﭘﻨﮯ ﻟﯿﮉﺭ ﮐﻮ ﭼﻬﻮﮌ ﮐﺮ ﺑﻬﺎﮒ ﮔﮯ ﺗﻬﮯ,N
ا عمران خان کو ان دنوں شیدے کو دور بھگا دینا چاہیے جب اسکے بیٹے پاکستان میں ہوں یہ چھڑے چھانٹ اخلاقی گراوٹ کا شکار ہوتے ہیں,N
اورنگی ٹاؤن کے بچوں میں پولیو وائرس کی تصدیق,N
ر ایک بچے کی سکول میں موجودگی یقینی بنانے کے لئے ریاست کو تعلیمی معاملات سے نمٹنے کے لئے نئی قوت کے ساتھ عزم کو یقینی,P
دو عہدوں کا معاملہ معین خان اور پی سی بی کے درمیان سرد جنگ,N
کراچی ایدھی سنٹر پر ڈاکے کا مرکزی ملزم گرفتار عیدھی صاحب پہلے بھی ا پ کی سالہ دلہن کڑوڑوں روپے لے اڑی تھی,P
انشا جی اٹھو اب کوچ کرو اس شہر میں جی کا لگانا کیا ہاہاہا اور یہ کہ کر قادری صاحب شہر اقتدار پر بہت بڑا احسان کر گے,P
بھارتی مقبوضہ کشمیر میں بین الاقوامی مبصر کی تعیناتی خطے میں پائیدار امن کیلئے ناگزیر ہے,P
آج ایک نئی پیپلز پارٹی کی خبریں گردش کر رہی ہیں,P
ﺗﻤﺎﻡ ﻣﺴﻠﻤﺎﻧﻮﮞ ﮐﻮ ﻧﯿﺎ ﺍﺳﻼﻣﯽ ﺳﺎﻝ ﻣﺒﺎﺭﮎ ﮨﻮ ﺩﻋﺎ ﮐﺮﺗﮯ ﮨﯿﮟ ﺍﻟﻠﮧ ﺗﻌﺎﻟﯽ ﺗﻤﺎﻡ ﻣﺴﻠﻤﺎﻧﻮﮞ ﭘﺮ ﺍﭘﻨﮯ ﮐﺮﻡ ﺳﮯ ﺭﺣﻤﺘﯿﮟ ﺑﺮﮐﺘﯿﮟ ﻧﻌﻤﺘﯿﮟ ﻧﺎﺯﻝ ﻓﺮﻣﺎﺋﯿﮟ ﺁﻣﯿﻦ ﺛﻢ ﺁﻣﯿﻦ,P
ایک دن مرنے کے لیے ساری زندگی جینا پڑتا ہے,N
میرپورخاص سیال کالونی میں معمولی تنازع پر فائرنگ نوجوان امتیاز ناریجو جانبحق ہوگیا,N
خدا کے لیے کوئی کینڈی کرش ساگا گیم کھیلنے کے لئے جو لوگ مجھ کو انوائیٹ کرتے ہیں ان سے جان چھڑوائے خدا لئے,P
ڈسکے جاؤ ناچے جاؤ,P
عمران خاں زنا اور اپنے ناجائز بچوں کو پرائیویٹ معامله کھتا ھے کیا ایسے شخص کے پیچھے قوم کو چلنا چاھیے,N
لاہور شہباز شریف نے ہزار پرائمری سکولز بند کروادئیے چودھری پرویز الہی,N
السلام علیکم باغ آزاد کشمیر سے کوئی ساتھی ہوں تو مجھے ان باکس کریں جزاک اللہ,P
لاہور محرم سیکیورٹی کیلئے انتظامات کو حتمی شکل,N
ابھی تو پارٹی شروع ہوئی ہے,P
چیچہ وطنی حکام کی عدم توجہی امراض قلب یونٹ میں تالے پڑ گئے,N
امریکا ویسٹ پام بیچ کے علاقے میں بارش سے نظام زندگی متاثر,N
تحریک انصاف کے دوست دل کھول کر برا بھلا کہیں گالیاں دیں لیکن وقت آئے گا کہ ثابت ہو جائے گا کہ ہمارا فیصلہ ہم,N
قادری سے بولے ڈاکٹر نے مجھے دانتوں میں کیڑا بتایا ھے بیوی ڈاکٹر نے آپکو بماری تو سہی بتائ پر جگہ غلط بتادی ہنسنا منع ہے الوداع انقلاب,N
لاہور طاہر القادری کی ماڈل ٹاون م ن واقع رہائش گاہ کے اطراف سیکورٹی الرٹ,N
ایم کیو ایم کا ملک گیر یوم سیاہ,N
میرے جذبات سے واقف ہے میرا قلمدھرنہ لکھوں ڈرامہ لکھا جاتا ہے,P
بعض اہل نظر کی رائے میں نئے صوبوں کی تقسیم اس طرح بھی ممکن ہے,P
تم سے بڑا گھپلا کون ہے,N
زاہد یہ میری شوخی رندانہ دیکھنا رحمت کو باتوں باتوں میں بہلا کے پی گیاسر مستی ازل مجھے جب یاد آ گئی دنیائے اعتبار کو ٹھکرا کے پی گیا,P
ہاں یہی احساس پیدا کرنا ہے,P
ہاہاہاہانا کیا کرو نا یار اگلی دفعہ پھر کوشش کر لینا,P
ایم کیو ایم کا سندھ حکومت کے بعد آزاد جموں کشمیر حکومت سے بھی علیحدگی کا اعلان ڈاکٹر فاروق ستار,N
ٹهیک ہے آپ ناچیں,P
قیامت کی نشانیاں,N
عمر کے نام لیوا کا ہے نصب العین حق کوشی کبھی باطل کے آگے اس کا سر خم ہو نہیں سکتا سیدنا عمر فاروق,N
جسٹس منصور علی شاہ نے ریمارک دیئے بتایا جائے عوامی ٹیکسوں سے حاصل ہونے والی رقم کس طرح سیاسی مقاصد کے لئے استعمال کی جا سکتی ہے,N
جو طلب پہ عہد وفا کیا تو وہ آبروئے وفا گئسر عام جب ہوئے مد عی تو ثواب صدق و صفا گیا,N
ابھی تک اسکی لہریں کبھی کبھی آ جاتی ہیں یار أ,P
ﻧﻮﺭ ﺑﻐﺪﺍﺩ ﮐﯽ ﮔﻠﯿﻮﮞ ﮐﺎ ﮨﮯ ﮨﺮ ﺍﯾﮏ ﮐﺮﻥ ﺍﺱ ﮐﯽ ﻣﺪﯾﻨﮧ ﺳﮯ ﭼﻠﯽ ﮨﮯ,P
کے اہتمام علما کا انوکا اجتماع جس میں سنی شیعہ بریلوی دیوبند اور اہلحدیث تمام مکاتب فکرکے علما چھت کے نیچے جمع جگہ باجماعت نمازکی ادائیگی,P
بجھی بجھی شام شعر یاراں,N
درست کہا غصہ ہوش گنوا دیتا ہے,N
اتنا کام پڑا ہے اور میں کھیل رہی ہوں اردو کی بورڈ سے,P
کچھ لوگوں کو شکریہ کہنا ہے جو پٹوریوں کو ان کی زبان میں جواب دیتے ہے اورکا دفاع کرتے ہے وغیرہ کو,P
مجیب الرحمن شامی کا پروفیسر غلام اعظم کے لئے نذرانہ,P
پنج پیر اجتماع براہ راست دیکھنے کیلے اور تصویری جھلکیوں کیلے فیس بک کاوزٹ کریں,P
خودکشی حرام هے توبه توبه,N
دنیائے حادثات ہے اک درد ناک گیتدنیا کے حادثات سے گھبرا کے پی گیاکانٹے تو خیر کانٹے ہیں ان سے گلہ ہی کیاپھولوں کی واردات سے گھبرا کے پی گیا,N
منڈی بہاؤالدین انڈر دی ٹری پرائمری سکول اکیسویں صدی جہاں پوری دنیامیں سائنس اور ٹیکنالوجی کاراج ہے اور تمام,P
ن لیگ وہ پارٹی ہے جوضیاکی بندوق کے زور پہ وبائی مرض کی طرح پهیلیجبکہتحریک انصاف آہستہ آہستہ خوشبو کی طرح اپنا اثر دکھا رہی ہے,N
تیز بارش ہو گھنا پیڑ ہو ا ک لڑکی ہوایسے منظر کبھی شہروں میں تو پائے نہ گئے,P
میں نے ورلڈ کپ جیتامیں نے ہسپتال بنایامیں نے سیاسی پارٹی بنائیمیں نے کنٹینر سیاست شروع کیمیں نے چندہ کی ٹیکنالوجی کو بام عروج تک پہنچایا,P
جمال و حسن قرآں نور جان ہر مسلماں ہے قمر ہے چاند اوروں کا ہمارا چاند قرآں ہے,P
آج ملک بھر میں یوم عدل بسلسلہ یوم شہادت سیدنا فاروق اعظم ر ض مذہبی عقیدت سے منایا جائے گا,N
آج قادری صاحب نے کچھ عمران خان سے مایوس ہو کر اور کچھ ڈیل کے نتیجے میں اپنا دھرنا ختم کر دیا اس فیصلے کے کئی,N
قائد انقلاب ڈاکٹر محمد طاہر القادری نے محاذ بدلا ہے منزل نہیں,P
کوہلی اور انوشکا کب شادی کررہے ہیں عامر خان کو بھی فکر لاحق ہوگئی,N
نیا بلاگ کب تک پوسٹ کریں گی آپ,P
اب کے برس بہار بصیرت کو ڈس گئی فکرو نظر کے جھومتے باغات جل گئے ساغر کٹے کٹے ہیں ستارے بجھے بجھے شائد میرے نصیب کے دن رات جل گئے,N
جیو نیوز مسلسل گھنٹے تک افواج پاکستان اور آئی ایس آئی پر کیچڑ اچھالتا رہا لیکن پیمرا کا چئیرمین اور سارا,N
بریکنگ لاہور میں مردہ جانوروں کا گوشت فراہم کیے جانے کاانکشاف,N
تنگ آ چکے ہیں کشمکش زندگی سے ہمٹھکرا نہ دیں جہاں کو کہیں بے دلی سے ہم,N
ایشیا کا قدیم محمد ن سپورٹنگ کلب مشکلات میں,N
اگر وہ تم سے پیار کرتا ہے تو وہ تمھیں کبھی نہیں چھوڑے گا اور کبھی تمھیں نیچا نہیں دیکھائے گا,P
آسٹریلوی ٹیم پاکستان کے سکور سے اب بھی رنز پیچھے ہے,P
مٹھی میں غذائی قلت سے بچے جاں بحق ہو گئے مزید پڑھئے,N
غذائی قلت کا شکار مزید دو بچے سول اسپتال مٹھی میں دم توڑ گئے تھر پارکر تھر پارکر میں غذائی قلت کا شکار م,N
نواز شریف کی بھارت کے بعد اسرائیل کو خوش کرنے کی کوشش حکومت کی ناک کے عین نیچے اسرائیلی اسٹال,P
میں چاھتا بھی یھی تھا تو بے وفا نکلے تجھے سمجھنے کا کوئی تو سلسلا نکلے,N
فقیری اچھی پروہ جوآپ کولوگوں سے بے نیاز کردے نا کے وہ فقیری جس میں آپ لوگوں کی نیاز کے ہوں محتاج اور ہاتھ پھیلاتے پھریں سب کے سامنے,N
اسلام آباد چیرمین تحریک انصاف عمران خان کا کہنا ہے کہ محرم الحرام آنے کے باوجود ہم اسلام آباد سے نہیں جائیں گے,P
سرجی آئی فون تے نیٹ سلو ای بڑا اے سم تے اک حوالہ کڈ لیا اے لنک سینڈ کرنا واں چیکنگ پا لوو,P
اصلی صرف طالبان لشکر جھنگوی ہیں اصلی اور خالص,P
نبہیا چوہدری کی مبینہ خود کشی ذہنی دبائو کا نتیجہ قرار,N
نبی اکرم صل ی اللہ علیہ وآلہ وسلم پر ہزاروں کڑوڑوں درود و سلام,P
آسٹریلوی ماہرین کا طبی میدان میں اہم کارنامہ مردہ دل کی کامیاب پیوند کاری,P
کسی روندے نوں ھسایا ای تے دس خاں کسی پکھے نوں رجایا اع تے دس خاں راه وچ پے روڑے نوں ھٹایا ای تے دس خاں کسی دے پھٹ نوں سیتا ای تے دس خاں,N
شیخ جیسا بے شرم جسے میں اپنا چپڑاسی بھی نہ رکھو سچ ہی تو کہا ہے چپڑاسی نہیں رکھے گا پارٹنر بنائے گا,N
آپ میں سے وہ جنہوں نے جنرل ضیاع ال یک کا دور دیکھا ہے جان سکتے ہیں کہ ہم لوگ کس کرب سے گزرے ہوں گے پچھلی دو ٹویٹس ملاحظہ ہوں,N
پاکستان کی جانب سے انضمام الحق کی ٹیسٹ کرکٹ میں سنچریاں ہیں,P
بازؤوں سے محروم امریکی نو جوان ماہر گٹارسٹ بن گیا نیویارک امریکہ سے تعلق رکھنے والے دو,P
لاہور وزیر اعلی نوٹس لے کر داد رسی کریں مظاہرین,P
لیکن ہم نے جنگلا بس بنانی ہے ملتان میں پینے کا صاف پانی نہیں لیکن ہم نے جنگلا بس بنانی ہے ملتان میں ساری سڑکیں,N
آسٹریلیا انڈیا اور دوسرے ملکوں میں بیٹھ کر روز کوئی نہ کوئی شوشہ چھوڑ دیتا ہوں اس ملک کو بہت محنت کی ضرورت ہے,P
سوچا تھا شہباز شریف وہاں سے کام آگے لے کر جائیں گے جہاں ہم نے چھوڑا چودھری پرویز الہ ی چودھری نے پنجاب تباہ کیا شہباز نے ترقیاتی کام کیے پنجاب کو سنوار دیا,P
شکل اس کی تھی دلبروں جيسی خو تھی ليکن ستمگروں جيسی اس کے لب تھے سکوت کے دريا اس کی آنکھيں سخنوروں جيسی,P
بڑے بے آبرو ہو کر تیرے ک وچے سے ہم نکلے,N
دیکھیں یہ بات بالکل درست ھے سڑکیں بلاک کرنا کسی طور درست نہیں لیکن انکا نام ٹویٹر پر یا حقیقی زندگی میں احترام سے لینا چاھئے,N
حضرت عمر کے زمانہ خلافت میں جامع مساجد کی تعداد بارہ ہزار تک پہنچ چکی تھی از نظام الحکومۃ الاسلامیہ ج لد دوم,P
اگرزمینی حقائق یہ بتلاتے ہوں کہ یہ ایک خنریزسیاسی سرگرمی ہے,N
لاہور مدعیہ کا پسند کی شادی والا بیان برقرار,P
ایک پنجرے میں چھ طوطے ایک طوطی کو چھیڑ رھے تھے جبکہ دوسرے پنجرے,N
ﺳﻮﺩﮐﮭﺎﻧﮯ ﻭﺍﻟﮯ ﺍﺱ ﮐﮯ ﻭﮐﯿﻞ ﺍﺳﮑﮯ ﮐﺎﺗﺐ ﺍﻭﺭ ﺍﺱ ﮐﮯ ﮔﻮﺍﮦ ﭘﺮ ﻟﻌﻨﺖ ﻓﺮﻣﺎﺋﯽ ﮨﮯ ﺍﻭﺭ ﻓﺮﻣﺎﯾﺎ ﮐﮧ ﻭﮦ ﺳﺎﺭﮮ ﺑﺮﺍﺑﺮ ﮨﯿﮟفرمان,N
ﭘﺨﺘﮕﯽ ﺍﻭﺭ ﻣﯿﭽﻮﺭﭨﯽ ﮐﯽ ﺿﺮﻭﺭﺕ ﺟﺴﻢ ﺳﮯ ﺯﯾﺎﺩﮦ ﺫﮨﯿﻦ ﮐﻮ ﺩﺭﮐﺎﺭ ﮨﻮﺍ ﮐﺮﺗﯽ ﮨﮯ ﮐﮧ ﺟﺴﻢ ﺗﻮ ﻋﻤﺮ ﮐﮯ ﺳﺎﺗﮫ ﺳﺎﺗﮫ ﻓﻄﺮﯼ ﺍﻧﺪﺍﺯ ﻣﯿﮟ,P
دو امریکی ڈانسرز کا بلند عمارت سے لٹک کر رقص,P
کو ئی بات نہیں سب ٹھیک ہوجائیں گے,P
اور اگر پی ٹی آئ نے کها که الیکشن ضمنی نهیں ھونے دینے تو پانچ فی صد ٹرن آوٹ ھوگا اور یا نهیں ھونگے,N
سالا چار اوورز تک کوئی وکٹ نہ گرے تو میچ بورنگ بورنگ لگنا شروع ہو جاتا ہے,N
لاہور نان اور روٹی کی مقررہ قیمتوں پر فروخت یقینی بنا رہے ہیں انتظامیہ,P
مریم نواز کی بحیثیت چیئرپرسن یوتھ لون اسکیم تقرری پر وفاقی حکومت سے جواب طلب ہائی کورٹ نے,N
دیکھ کر جو ہمیں چپ چاپ گزر جاتا ہے کبھی اس شخص کو ہم پیار کیا کرتے تھے,P
اب مزا دينے لگا درد محبت مجھ کو مجھ کو اس درد کی اب کوئی دوا مت دينا,N
مر گئے مردود نہ ڈیزل نا امرود نه سرمه سندور,N
لاہور آئی جی پنجاب مشتاق سکھیرا کی زیر صدارت آر پی او کانفرنس,P
چلو کچھ دیر ہنستے ہیں محبت پرعنایت پرکہ بے بنیاد ہیں باتیں سبھی رشتے سبھی ناتے ضرورت کی ہیں یجادیں کہیں کوئی نہیں مرتاکسی کی واسطے جاناں,N
مقامی سیشن کورٹ نے نواز گھمن سکنہ ڈھک,N
پراٹھے مچھلی چائے عمران خان کے ساتھ,P
ڈآکٹر دانش سوال یہ ہے اے آر وائی کا ٹیوٹر اکائونٹ ہیک ہو گیا ہے کوئی بھی شخص ان کو ٹیوٹ نہ کر ے اور نہ ہی,N
ڈاکٹر طاہر القادری کا دھرنے کیلیے فنڈز جمع کرنے کیلیے بیرون ملک جانے کا فیصلہ اور عمران خان کی بھی دھرنے کیلیے عوام سے فنڈ دینے کی اپیل,N
کیا کسی نے اس بات پر توجه دی که ذی الحج کا مھینه کتنے دن کا تھا پاکستان میں امید ھے کسی نے تکلیف نھیں کی ھوگی,P
گوجرہ میں قتل اور ڈکیتی کے گرفتار ملزمان کی نشاندہی پر اسلحہ برآمدپولیس نے قتل اور ڈکیتی کے گرفتار ملزمان کی,N
اب تو بس اس آواز کو سننے کے لئے کان ترس رہے ہیں اوووووووووووئے قادری ذلیل کرا گئے نا,N
ہر کسی کو اپنے جان کا ابھیمان تو ہوتا ہے پرنتو اپنے ابھیمان کا جان نہیں ہوتا,N
سندھ کے بعد ایم کیو ایم آزاد کشمیر حکومت سے بھی الگ ہو گئیوقت آ گیا ہے کہ ایم کیو ایم برطانوی حکومت سے بھی الگ ہونے کا اعلان کردے,N
بھائ نہ جھک مارو نہ حق بس تمیز سے زندگی گزارو,P
کشکول توڑنے کا دعوی پاکستان کو قرضوں میں ڈبو گیا غیر ملکی قرضے ارب ڈالر سے تجاوز ہر پاکستانی سے زائد روپے کا مقروض قرضے کھرب تک پہنچ گئے,N
ملک میں مذہب کے نام پر فرقہ واریت کی آگ بھڑکائی جا رہی ہے جس سے ملک کھوکھلا ہو رہا ہے طارق جمیل,N
جان ليوا تهيں خواهشيں ورنہوصل سے انتظار اچها تها,N
منوں ڈیزل تھوڑا پوا دے نچاں میں ساری رات میری ٹنکی فل کرا دے نچاں میں ساری رات,P
یہ دور جاہلیت کے ابو جہل ہیں انکا اصلاح سے کیا واسطہ انکو سرداری عزیز ہے,N
آج میرے مضمون کا عنوان ہے کہ بھائی صرف وہ ہوتے ہیں جنہیں اللہ نے ہمارا بھائی بنایا ہے کچھ لوگوں کو میرا,P
اللہ جانے وے ماہی تیرا پیار کی اے دل دی اوداسی نی جاندی,N
بے شرم لوگ ان کے نام کون رکھتا ہے,N
نئی نظریاتی ونگ کا سہرا اسی کو جاتا ہے آزادی مارچ نے کامیابی سے نظریاتی,P
سابق چیف جسٹس پاکستان کو شدید خطرات لاحق,N
میاں صاحب بھارت کے خلاف بات کیوں نہیں کرتے پٹواری ہم نے ایٹم بم بنایا,N
ڈھائی سو ارب روپے سگریٹ میں پھونک دیے جو مفت کے پیئے,N
